id_pais,year,desempleo
VEN,2020,6.6269998550415
VEN,2019,5.09600019454956
VEN,2018,5.02199983596802
VEN,2017,5.05000019073486
VEN,2016,5.32000017166138
VEN,2015,6.07999992370605
VEN,2014,6.86399984359741
VEN,2013,7.53999996185303
VEN,2012,6.59999990463257
VEN,2011,6.90000009536743
VEN,2010,7.1100001335144
VEN,2009,6.09999990463257
VEN,2008,6.25
VEN,2007,7.28000020980835
VEN,2006,8.60999965667725
VEN,2005,10.6599998474121
VEN,2004,15.0699996948242
VEN,2003,16.7800006866455
VEN,2002,16.1700000762939
VEN,2001,13.039999961853
VEN,2000,13.9899997711182
URY,2020,10.3500003814697
URY,2019,8.88000011444092
URY,2018,8.34000015258789
URY,2017,7.8899998664856
URY,2016,7.84000015258789
URY,2015,7.48999977111816
URY,2014,6.55000019073486
URY,2013,6.44000005722046
URY,2012,6.44999980926514
URY,2011,6.30999994277954
URY,2010,7.15999984741211
URY,2009,7.73999977111816
URY,2008,8.02999973297119
URY,2007,9.39999961853027
URY,2006,10.8400001525879
URY,2005,12.0100002288818
URY,2004,12.9799995422363
URY,2003,16.6599998474121
URY,2002,16.6499996185303
URY,2001,15.0500001907349
URY,2000,12.6300001144409
USA,2020,8.05000019073486
USA,2019,3.67000007629395
USA,2018,3.90000009536743
USA,2017,4.3600001335144
USA,2016,4.86999988555908
USA,2015,5.28000020980835
USA,2014,6.17000007629395
USA,2013,7.36999988555908
USA,2012,8.06999969482422
USA,2011,8.94999980926514
USA,2010,9.63000011444092
USA,2009,9.25
USA,2008,5.78000020980835
USA,2007,4.61999988555908
USA,2006,4.61999988555908
USA,2005,5.07999992370605
USA,2004,5.53000020980835
USA,2003,5.98999977111816
USA,2002,5.78000020980835
USA,2001,4.73000001907349
USA,2000,3.99000000953674
TTO,2020,4.56799983978271
TTO,2019,3.42199993133545
TTO,2018,3.33699989318848
TTO,2017,3.27500009536743
TTO,2016,3.21000003814697
TTO,2015,2.4300000667572
TTO,2014,2.48000001907349
TTO,2013,2.6800000667572
TTO,2012,3.72000002861023
TTO,2011,3.4300000667572
TTO,2010,4.03000020980835
TTO,2009,5.28000020980835
TTO,2008,4.63000011444092
TTO,2007,5.53999996185303
TTO,2006,6.26999998092651
TTO,2005,7.94999980926514
TTO,2004,8.32999992370605
TTO,2003,10.4799995422363
TTO,2002,10.3900003433228
TTO,2001,10.8800001144409
TTO,2000,12.1000003814697
BHS,2020,13.3210000991821
BHS,2019,10.0609998703003
BHS,2018,10.0
BHS,2017,9.80000019073486
BHS,2016,12.6999998092651
BHS,2015,12.0
BHS,2014,13.8000001907349
BHS,2013,16.1800003051758
BHS,2012,14.0200004577637
BHS,2011,14.5200004577637
BHS,2010,14.3140001296997
BHS,2009,14.25
BHS,2008,8.18000030517578
BHS,2007,7.88000011444092
BHS,2006,7.53999996185303
BHS,2005,10.1999998092651
BHS,2004,10.1999998092651
BHS,2003,10.8400001525879
BHS,2002,9.05000019073486
BHS,2001,6.86999988555908
BHS,2000,7.20100021362305
SUR,2020,9.77799987792969
SUR,2019,8.03999996185303
SUR,2018,7.92600011825562
SUR,2017,7.90399980545044
SUR,2016,7.92000007629395
SUR,2015,7.21999979019165
SUR,2014,6.94000005722046
SUR,2013,6.59999990463257
SUR,2012,8.10000038146973
SUR,2011,7.53999996185303
SUR,2010,7.15000009536743
SUR,2009,8.72000026702881
SUR,2008,8.875
SUR,2007,9.0319995880127
SUR,2006,9.19200038909912
SUR,2005,9.38300037384033
SUR,2004,9.48999977111816
SUR,2003,10.3070001602173
SUR,2002,11.1529998779297
SUR,2001,11.9119997024536
SUR,2000,12.7379999160767
VCT,2020,21.0020008087158
VCT,2019,19.2800006866455
VCT,2018,19.1800003051758
VCT,2017,19.181999206543
VCT,2016,19.1100006103516
VCT,2015,19.0900001525879
VCT,2014,19.05299949646
VCT,2013,18.9899997711182
VCT,2012,18.9650001525879
VCT,2011,18.988000869751
VCT,2010,19.0499992370605
VCT,2009,18.9629993438721
VCT,2008,18.7900009155273
VCT,2007,19.0590000152588
VCT,2006,19.2329998016357
VCT,2005,19.7509994506836
VCT,2004,20.0189990997314
VCT,2003,20.2129993438721
VCT,2002,20.5919990539551
VCT,2001,21.1000003814697
VCT,2000,20.9549999237061
LCA,2020,16.8920001983643
LCA,2019,15.3199996948242
LCA,2018,19.0799999237061
LCA,2017,18.8600006103516
LCA,2016,19.6490001678467
LCA,2015,20.5620002746582
LCA,2014,21.2959995269775
LCA,2013,22.2099990844727
LCA,2012,19.0599994659424
LCA,2011,18.8600006103516
LCA,2010,17.1079998016357
LCA,2009,15.3699998855591
LCA,2008,12.7200002670288
LCA,2007,14.0
LCA,2006,16.0
LCA,2005,18.7000007629395
LCA,2004,20.9699993133545
LCA,2003,22.1800003051758
LCA,2002,20.3899993896484
LCA,2001,18.5249996185303
LCA,2000,16.4899997711182
KNA,2020,4.5
KNA,2019,4.095
KNA,2018,5.119
KNA,2017,5.068
KNA,2016,5.271
KNA,2015,5.535
KNA,2014,5.756
KNA,2013,5.986
KNA,2012,5.148
KNA,2011,5.097
KNA,2010,4.638
KNA,2009,4.174
KNA,2008,3.464
KNA,2007,3.81
KNA,2006,4.343
KNA,2005,5.081
KNA,2004,5.691
KNA,2003,6.032
KNA,2002,5.549
KNA,2001,5.05
KNA,2000,4.494
PER,2020,7.17999982833862
PER,2019,3.38000011444092
PER,2018,3.49000000953674
PER,2017,3.69000005722046
PER,2016,3.74000000953674
PER,2015,3.26999998092651
PER,2014,3.21000003814697
PER,2013,3.5699999332428
PER,2012,3.24000000953674
PER,2011,3.48000001907349
PER,2010,3.57999992370605
PER,2009,3.98000001907349
PER,2008,4.03999996185303
PER,2007,4.03999996185303
PER,2006,4.17999982833862
PER,2005,4.88000011444092
PER,2004,4.69999980926514
PER,2003,4.15000009536743
PER,2002,4.84000015258789
PER,2001,5.02600002288818
PER,2000,4.88399982452393
PRY,2020,7.55000019073486
PRY,2019,6.59000015258789
PRY,2018,6.21999979019165
PRY,2017,4.6100001335144
PRY,2016,5.25
PRY,2015,4.55999994277954
PRY,2014,5.03000020980835
PRY,2013,4.38000011444092
PRY,2012,4.09000015258789
PRY,2011,4.67000007629395
PRY,2010,4.57000017166138
PRY,2009,5.46000003814697
PRY,2008,4.42000007629395
PRY,2007,4.71000003814697
PRY,2006,5.28000020980835
PRY,2005,4.82000017166138
PRY,2004,6.51000022888184
PRY,2003,6.80999994277954
PRY,2002,9.39000034332275
PRY,2001,6.21000003814697
PRY,2000,7.6100001335144
PAN,2020,12.8540000915527
PAN,2019,4.72599983215332
PAN,2018,3.83299994468689
PAN,2017,3.85899996757507
PAN,2016,3.26300001144409
PAN,2015,2.97699999809265
PAN,2014,2.70700001716614
PAN,2013,2.28500008583069
PAN,2012,2.38899993896484
PAN,2011,2.37899994850159
PAN,2010,3.72000002861023
PAN,2009,3.85199999809265
PAN,2008,3.74300003051758
PAN,2007,3.68499994277954
PAN,2006,3.70000004768372
PAN,2005,3.75300002098084
PAN,2004,3.73900008201599
PAN,2003,3.79099988937378
PAN,2002,3.78500008583069
PAN,2001,3.81699991226196
PAN,2000,3.81399989128113
NIC,2020,6.07800006866455
NIC,2019,5.21099996566772
NIC,2018,5.19999980926514
NIC,2017,3.29999995231628
NIC,2016,3.90000009536743
NIC,2015,4.69999980926514
NIC,2014,4.51999998092651
NIC,2013,5.28000020980835
NIC,2012,5.21000003814697
NIC,2011,6.49599981307983
NIC,2010,7.82999992370605
NIC,2009,8.15999984741211
NIC,2008,6.19999980926514
NIC,2007,4.8899998664856
NIC,2006,5.30999994277954
NIC,2005,5.36999988555908
NIC,2004,6.40999984741211
NIC,2003,7.59999990463257
NIC,2002,7.57800006866455
NIC,2001,7.44999980926514
NIC,2000,7.35400009155273
MEX,2020,4.44999980926514
MEX,2019,3.48000001907349
MEX,2018,3.27999997138977
MEX,2017,3.42000007629395
MEX,2016,3.85999989509583
MEX,2015,4.30999994277954
MEX,2014,4.80999994277954
MEX,2013,4.90999984741211
MEX,2012,4.8899998664856
MEX,2011,5.17000007629395
MEX,2010,5.30000019073486
MEX,2009,5.3600001335144
MEX,2008,3.86999988555908
MEX,2007,3.63000011444092
MEX,2006,3.5699999332428
MEX,2005,3.55999994277954
MEX,2004,3.94000005722046
MEX,2003,3.46000003814697
MEX,2002,3.0
MEX,2001,2.63000011444092
MEX,2000,2.65000009536743
JAM,2020,9.47999954223633
JAM,2019,7.69000005722046
JAM,2018,9.10000038146973
JAM,2017,11.6300001144409
JAM,2016,13.1899995803833
JAM,2015,13.5100002288818
JAM,2014,13.7399997711182
JAM,2013,15.25
JAM,2012,13.9300003051758
JAM,2011,12.6999998092651
JAM,2010,12.3699998855591
JAM,2009,11.3599996566772
JAM,2008,10.5900001525879
JAM,2007,9.75
JAM,2006,10.3199996948242
JAM,2005,11.2600002288818
JAM,2004,12.210000038147
JAM,2003,11.7299995422363
JAM,2002,14.1899995803833
JAM,2001,14.9300003051758
JAM,2000,15.539999961853
HND,2020,8.3730001449585
HND,2019,5.69999980926514
HND,2018,5.65000009536743
HND,2017,5.53000020980835
HND,2016,6.73000001907349
HND,2015,6.15000009536743
HND,2014,7.07999992370605
HND,2013,5.65000009536743
HND,2012,3.75
HND,2011,4.46999979019165
HND,2010,4.11999988555908
HND,2009,3.28999996185303
HND,2008,3.16000008583069
HND,2007,3.21000003814697
HND,2006,3.5699999332428
HND,2005,4.90999984741211
HND,2004,5.98999977111816
HND,2003,5.30000019073486
HND,2002,4.01999998092651
HND,2001,4.0
HND,2000,3.83899998664856
HTI,2020,15.451000213623
HTI,2019,13.914999961853
HTI,2018,13.8599996566772
HTI,2017,13.8769998550415
HTI,2016,13.9250001907349
HTI,2015,13.9619998931885
HTI,2014,13.951000213623
HTI,2013,13.996000289917
HTI,2012,14.1000003814697
HTI,2011,14.5279998779297
HTI,2010,15.378999710083
HTI,2009,15.6569995880127
HTI,2008,16.3360004425049
HTI,2007,16.7999992370605
HTI,2006,15.6909999847412
HTI,2005,14.4160003662109
HTI,2004,13.3240003585815
HTI,2003,11.9969997406006
HTI,2002,10.826000213623
HTI,2001,9.63300037384033
HTI,2000,8.4040002822876
GUY,2020,16.4309997558594
GUY,2019,13.9919996261597
GUY,2018,14.0200004577637
GUY,2017,13.746000289917
GUY,2016,13.46399974823
GUY,2015,13.2119998931885
GUY,2014,12.923999786377
GUY,2013,12.6280002593994
GUY,2012,12.335000038147
GUY,2011,12.0570001602173
GUY,2010,11.7980003356934
GUY,2009,11.5260000228882
GUY,2008,11.2709999084473
GUY,2007,10.9569997787476
GUY,2006,10.6999998092651
GUY,2005,11.0229997634888
GUY,2004,11.2670001983643
GUY,2003,11.5539999008179
GUY,2002,11.8100004196167
GUY,2001,11.8149995803833
GUY,2000,11.8579998016357
GTM,2020,3.55299997329712
GTM,2019,2.19000005722046
GTM,2018,2.27999997138977
GTM,2017,2.46000003814697
GTM,2016,2.57999992370605
GTM,2015,2.50999999046326
GTM,2014,2.72000002861023
GTM,2013,3.01999998092651
GTM,2012,2.75999999046326
GTM,2011,3.08500003814697
GTM,2010,3.5
GTM,2009,3.51200008392334
GTM,2008,3.30900001525879
GTM,2007,3.10899996757507
GTM,2006,3.06100010871887
GTM,2005,3.05100011825562
GTM,2004,2.97000002861023
GTM,2003,2.80999994277954
GTM,2002,2.75099992752075
GTM,2001,2.78399991989136
GTM,2000,2.72499990463257
GRD,2020,24.0
GRD,2019,21.84
GRD,2018,27.3
GRD,2017,27.027
GRD,2016,28.108
GRD,2015,29.513
GRD,2014,30.694
GRD,2013,31.922
GRD,2012,27.453
GRD,2011,27.178
GRD,2010,24.732
GRD,2009,22.259
GRD,2008,18.475
GRD,2007,20.322
GRD,2006,23.167
GRD,2005,27.105
GRD,2004,30.358
GRD,2003,32.179
GRD,2002,29.605
GRD,2001,26.941
GRD,2000,23.977
SLV,2020,6.2480001449585
SLV,2019,4.17000007629395
SLV,2018,4.01000022888184
SLV,2017,4.3899998664856
SLV,2016,4.42000007629395
SLV,2015,4.0
SLV,2014,4.15000009536743
SLV,2013,3.69000005722046
SLV,2012,3.83999991416931
SLV,2011,4.30000019073486
SLV,2010,4.8899998664856
SLV,2009,7.32999992370605
SLV,2008,5.88000011444092
SLV,2007,6.40999984741211
SLV,2006,6.57000017166138
SLV,2005,7.21999979019165
SLV,2004,6.05000019073486
SLV,2003,6.26000022888184
SLV,2002,5.73000001907349
SLV,2001,6.96000003814697
SLV,2000,6.96000003814697
ECU,2020,6.1100001335144
ECU,2019,3.80999994277954
ECU,2018,3.52999997138977
ECU,2017,3.83999991416931
ECU,2016,4.59999990463257
ECU,2015,3.61999988555908
ECU,2014,3.48000001907349
ECU,2013,3.07999992370605
ECU,2012,3.23000001907349
ECU,2011,3.46000003814697
ECU,2010,4.09000015258789
ECU,2009,4.6100001335144
ECU,2008,3.92000007629395
ECU,2007,3.14000010490417
ECU,2006,3.54999995231628
ECU,2005,3.77999997138977
ECU,2004,5.0
ECU,2003,5.65999984741211
ECU,2002,4.89799976348877
ECU,2001,4.25
ECU,2000,4.80000019073486
DOM,2020,6.13000011444092
DOM,2019,6.3600001335144
DOM,2018,5.8600001335144
DOM,2017,5.82999992370605
DOM,2016,7.28000020980835
DOM,2015,7.6100001335144
DOM,2014,6.71999979019165
DOM,2013,7.34999990463257
DOM,2012,6.71999979019165
DOM,2011,6.09000015258789
DOM,2010,5.21000003814697
DOM,2009,5.46999979019165
DOM,2008,4.76000022888184
DOM,2007,5.15999984741211
DOM,2006,5.65000009536743
DOM,2005,6.59000015258789
DOM,2004,6.30000019073486
DOM,2003,6.94000005722046
DOM,2002,6.78000020980835
DOM,2001,7.26000022888184
DOM,2000,6.42999982833862
DMA,2020,23.0
DMA,2019,20.93
DMA,2018,26.162
DMA,2017,25.9
DMA,2016,26.936
DMA,2015,28.283
DMA,2014,29.414
DMA,2013,30.591
DMA,2012,26.308
DMA,2011,26.045
DMA,2010,23.701
DMA,2009,21.331
DMA,2008,17.705
DMA,2007,19.476
DMA,2006,22.203
DMA,2005,25.978
DMA,2004,29.095
DMA,2003,30.841
DMA,2002,28.374
DMA,2001,25.82
DMA,2000,22.98
CUB,2020,2.62400007247925
CUB,2019,1.73500001430511
CUB,2018,1.70000004768372
CUB,2017,1.70000004768372
CUB,2016,2.0
CUB,2015,2.40000009536743
CUB,2014,2.70000004768372
CUB,2013,3.28999996185303
CUB,2012,3.46000003814697
CUB,2011,3.1800000667572
CUB,2010,2.5
CUB,2009,1.66999995708466
CUB,2008,1.58000004291534
CUB,2007,1.78999996185303
CUB,2006,1.9099999666214
CUB,2005,1.95000004768372
CUB,2004,1.85000002384186
CUB,2003,2.32999992370605
CUB,2002,3.30999994277954
CUB,2001,4.07999992370605
CUB,2000,5.44999980926514
CRI,2020,17.4099998474121
CRI,2019,11.4899997711182
CRI,2018,9.63000011444092
CRI,2017,8.14000034332275
CRI,2016,8.60000038146973
CRI,2015,9.0
CRI,2014,9.0600004196167
CRI,2013,8.77000045776367
CRI,2012,9.77999973297119
CRI,2011,10.1400003433228
CRI,2010,7.17000007629395
CRI,2009,7.71000003814697
CRI,2008,4.78000020980835
CRI,2007,4.48999977111816
CRI,2006,5.73999977111816
CRI,2005,6.57000017166138
CRI,2004,6.3899998664856
CRI,2003,6.55999994277954
CRI,2002,6.32999992370605
CRI,2001,5.92000007629395
CRI,2000,5.07999992370605
COL,2020,15.039999961853
COL,2019,9.96000003814697
COL,2018,9.10999965667725
COL,2017,8.86999988555908
COL,2016,8.6899995803833
COL,2015,8.30000019073486
COL,2014,8.56999969482422
COL,2013,9.05000019073486
COL,2012,9.73999977111816
COL,2011,10.1099996566772
COL,2010,10.9799995422363
COL,2009,11.289999961853
COL,2008,10.4899997711182
COL,2007,10.25
COL,2006,11.289999961853
COL,2005,11.0600004196167
COL,2004,12.7399997711182
COL,2003,13.2200002670288
COL,2002,14.4799995422363
COL,2001,15.039999961853
COL,2000,20.5200004577637
CHL,2020,11.1800003051758
CHL,2019,7.28999996185303
CHL,2018,7.23000001907349
CHL,2017,6.96000003814697
CHL,2016,6.73999977111816
CHL,2015,6.51000022888184
CHL,2014,6.65999984741211
CHL,2013,6.21000003814697
CHL,2012,6.65999984741211
CHL,2011,7.34000015258789
CHL,2010,8.42000007629395
CHL,2009,11.3100004196167
CHL,2008,9.28999996185303
CHL,2007,8.43000030517578
CHL,2006,9.02000045776367
CHL,2005,9.34000015258789
CHL,2004,10.1599998474121
CHL,2003,9.77000045776367
CHL,2002,10.1700000762939
CHL,2001,10.3900003433228
CHL,2000,10.4899997711182
CAN,2020,9.46000003814697
CAN,2019,5.65999984741211
CAN,2018,5.82999992370605
CAN,2017,6.34000015258789
CAN,2016,7.0
CAN,2015,6.90999984741211
CAN,2014,6.90999984741211
CAN,2013,7.07000017166138
CAN,2012,7.28999996185303
CAN,2011,7.51000022888184
CAN,2010,8.0600004196167
CAN,2009,8.34000015258789
CAN,2008,6.1399998664856
CAN,2007,6.03999996185303
CAN,2006,6.32000017166138
CAN,2005,6.76000022888184
CAN,2004,7.19000005722046
CAN,2003,7.57000017166138
CAN,2002,7.65999984741211
CAN,2001,7.21999979019165
CAN,2000,6.82999992370605
BRA,2020,13.6899995803833
BRA,2019,11.9300003051758
BRA,2018,12.3299999237061
BRA,2017,12.8199996948242
BRA,2016,11.6000003814697
BRA,2015,8.43000030517578
BRA,2014,6.65999984741211
BRA,2013,6.98000001907349
BRA,2012,7.19000005722046
BRA,2011,6.92000007629395
BRA,2010,7.27400016784668
BRA,2009,8.52000045776367
BRA,2008,7.34000015258789
BRA,2007,8.32999992370605
BRA,2006,8.64000034332275
BRA,2005,9.56999969482422
BRA,2004,9.10999965667725
BRA,2003,9.98999977111816
BRA,2002,9.36999988555908
BRA,2001,9.60999965667725
BRA,2000,9.56099987030029
BOL,2020,7.90000009536743
BOL,2019,3.8199999332428
BOL,2018,3.51999998092651
BOL,2017,3.65000009536743
BOL,2016,3.5
BOL,2015,3.10999989509583
BOL,2014,2.01999998092651
BOL,2013,2.44000005722046
BOL,2012,2.0699999332428
BOL,2011,2.25
BOL,2010,2.61400008201599
BOL,2009,2.97000002861023
BOL,2008,2.59999990463257
BOL,2007,2.64599990844727
BOL,2006,2.57599997520447
BOL,2005,2.54399991035461
BOL,2004,2.50300002098084
BOL,2003,2.53699994087219
BOL,2002,2.49399995803833
BOL,2001,2.48499989509583
BOL,2000,2.37800002098084
BLZ,2020,8.46199989318848
BLZ,2019,6.71099996566772
BLZ,2018,6.64400005340576
BLZ,2017,6.59999990463257
BLZ,2016,7.0
BLZ,2015,7.57999992370605
BLZ,2014,8.23999977111816
BLZ,2013,8.35000038146973
BLZ,2012,8.30599975585938
BLZ,2011,8.28400039672852
BLZ,2010,8.24199962615967
BLZ,2009,8.25
BLZ,2008,8.18000030517578
BLZ,2007,8.51000022888184
BLZ,2006,9.39000034332275
BLZ,2005,10.9099998474121
BLZ,2004,10.5869998931885
BLZ,2003,10.2399997711182
BLZ,2002,10.039999961853
BLZ,2001,9.06999969482422
BLZ,2000,10.8509998321533
BRB,2020,10.3769998550415
BRB,2019,8.40999984741211
BRB,2018,8.31999969482422
BRB,2017,8.61999988555908
BRB,2016,8.25
BRB,2015,9.80000019073486
BRB,2014,12.1700000762939
BRB,2013,11.5500001907349
BRB,2012,11.5900001525879
BRB,2011,11.1899995803833
BRB,2010,10.6899995803833
BRB,2009,10.0200004577637
BRB,2008,8.11999988555908
BRB,2007,7.40999984741211
BRB,2006,8.72999954223633
BRB,2005,9.07999992370605
BRB,2004,9.56999969482422
BRB,2003,11.0
BRB,2002,10.3199996948242
BRB,2001,9.85000038146973
BRB,2000,9.35000038146973
ARG,2020,11.460000038147
ARG,2019,9.84000015258789
ARG,2018,9.22000026702881
ARG,2017,8.35000038146973
ARG,2016,8.11100006103516
ARG,2015,7.52099990844727
ARG,2014,7.26999998092651
ARG,2013,7.09999990463257
ARG,2012,7.21999979019165
ARG,2011,7.17999982833862
ARG,2010,7.71000003814697
ARG,2009,8.64999961853027
ARG,2008,7.84000015258789
ARG,2007,8.47000026702881
ARG,2006,10.0799999237061
ARG,2005,11.5100002288818
ARG,2004,13.5200004577637
ARG,2003,15.3599996566772
ARG,2002,19.5900001525879
ARG,2001,17.3199996948242
ARG,2000,15.0
ATG,2020,11.0
ATG,2019,10.01
ATG,2018,12.512
ATG,2017,12.387
ATG,2016,12.882
ATG,2015,13.526
ATG,2014,14.067
ATG,2013,14.63
ATG,2012,12.582
ATG,2011,12.456
ATG,2010,11.335
ATG,2009,10.202
ATG,2008,8.468
ATG,2007,9.315
ATG,2006,10.619
ATG,2005,12.424
ATG,2004,13.915
ATG,2003,14.75
ATG,2002,13.57
ATG,2001,12.349
ATG,2000,10.991
