id_pais,year, inversion_educacion
VEN,2020,1.34407997131348
VEN,2019,1.34407997131348
VEN,2018,1.34407997131348
VEN,2017,1.34407997131348
VEN,2016,1.19023001194
VEN,2015,1.93017995357513
VEN,2014,2.7542633016904166
VEN,2013,3.5783466498057033
VEN,2012,4.40242999792099
VEN,2011,5.226513346036277
VEN,2010,6.050596694151563
VEN,2009,6.87468004226685
VEN,2008,5.251000046730045
VEN,2007,3.62732005119324
VEN,2006,3.66905999183655
VEN,2005,3.66905999183655
VEN,2004,3.66905999183655
VEN,2003,3.66905999183655
VEN,2002,3.66905999183655
VEN,2001,3.66905999183655
VEN,2000,3.66905999183655
URY,2020,4.70325994491577
URY,2019,4.70325994491577
URY,2018,4.66279983520508
URY,2017,4.47097015380859
URY,2016,4.38281011581421
URY,2015,4.55424976348877
URY,2014,4.58498001098633
URY,2013,4.51938009262085
URY,2012,4.4373250007629395
URY,2011,4.35526990890503
URY,2010,4.060267925262452
URY,2009,3.765265941619874
URY,2008,3.4702639579772963
URY,2007,3.175261974334718
URY,2006,2.88025999069214
URY,2005,2.71475005149841
URY,2004,2.49954009056091
URY,2003,2.0682098865509
URY,2002,2.32220005989075
URY,2001,2.80096006393433
URY,2000,2.42254996299744
USA,2020,4.91233015060425
USA,2019,4.91233015060425
USA,2018,4.91233015060425
USA,2017,5.10922002792358
USA,2016,4.79815006256104
USA,2015,4.95341014862061
USA,2014,4.95341014862061
USA,2013,4.95341014862061
USA,2012,4.95341014862061
USA,2011,4.95341014862061
USA,2010,4.95341014862061
USA,2009,4.95341014862061
USA,2008,4.95341014862061
USA,2007,4.95341014862061
USA,2006,4.95341014862061
USA,2005,4.95341014862061
USA,2004,4.95341014862061
USA,2003,4.95341014862061
USA,2002,4.95341014862061
USA,2001,4.95341014862061
USA,2000,4.95341014862061
TTO,2020,4.10374021530151
TTO,2019,3.69809150695801
TTO,2018,3.30403780937195
TTO,2017,3.57549691200256
TTO,2016,3.95391273498535
TTO,2015,3.3872082233429
TTO,2014,5.33194017410278
TTO,2013,5.11880016326904
TTO,2012,4.54982995986938
TTO,2011,4.29602003097534
TTO,2010,4.151092529296874
TTO,2009,4.006165027618407
TTO,2008,3.8612375259399414
TTO,2007,3.716310024261475
TTO,2006,3.5713825225830087
TTO,2005,3.426455020904543
TTO,2004,3.2815275192260764
TTO,2003,3.13660001754761
TTO,2002,3.54300999641418
TTO,2001,3.06528997421265
TTO,2000,2.75565004348755
BHS,2020,2.3713436126709
BHS,2019,2.28841733932495
BHS,2018,2.24967384338379
BHS,2017,2.42276906967163
BHS,2016,2.33118152618408
BHS,2015,2.24990105628967
BHS,2014,2.5
BHS,2013,2.72000002861023
BHS,2012,2.60999989509583
BHS,2011,2.66000008583069
BHS,2010,2.77999997138977
BHS,2009,2.92000007629395
BHS,2008,2.89000010490417
BHS,2007,2.73000001907349
BHS,2006,2.50999999046326
BHS,2005,2.28999996185303
BHS,2004,2.278567981719972
BHS,2003,2.267136001586914
BHS,2002,2.255704021453856
BHS,2001,2.244272041320798
BHS,2000,2.23284006118774
SUR,2020,5.00707244873047
SUR,2019,6.83225870132446
SUR,2018,4.92254018783569
SUR,2017,5.45866966247559
SUR,2016,5.64051675796509
SUR,2015,5.53468465805054
SUR,2014,5.53468465805054
SUR,2013,5.53468465805054
SUR,2012,5.53468465805054
SUR,2011,5.53468465805054
SUR,2010,5.53468465805054
SUR,2009,5.53468465805054
SUR,2008,5.53468465805054
SUR,2007,5.53468465805054
SUR,2006,5.53468465805054
SUR,2005,5.53468465805054
SUR,2004,5.53468465805054
SUR,2003,5.53468465805054
SUR,2002,5.53468465805054
SUR,2001,5.53468465805054
SUR,2000,5.53468465805054
VCT,2020,5.69377994537354
VCT,2019,5.69377994537354
VCT,2018,5.69377994537354
VCT,2017,5.7319598197937
VCT,2016,5.73339986801147
VCT,2015,5.625371535619097
VCT,2014,5.517343203226724
VCT,2013,5.409314870834351
VCT,2012,5.3012865384419765
VCT,2011,5.193258206049603
VCT,2010,5.08522987365723
VCT,2009,5.68978023529053
VCT,2008,5.68041014671326
VCT,2007,5.67104005813599
VCT,2006,6.01092004776001
VCT,2005,6.35080003738403
VCT,2004,7.494304895401
VCT,2003,8.63780975341797
VCT,2002,7.80195999145508
VCT,2001,7.85787010192871
VCT,2000,7.91378021240234
LCA,2020,3.5752100944519
LCA,2019,3.26606011390686
LCA,2018,3.33566999435425
LCA,2017,3.63348007202148
LCA,2016,5.20828008651733
LCA,2015,3.86772990226746
LCA,2014,3.88069009780884
LCA,2013,3.85984992980957
LCA,2012,3.27298998832703
LCA,2011,3.58823990821838
LCA,2010,3.4828999042511
LCA,2009,3.0676600933075
LCA,2008,4.48353004455566
LCA,2007,4.590110063552855
LCA,2006,4.69669008255005
LCA,2005,4.23895978927612
LCA,2004,3.43646001815796
LCA,2003,3.53449010848999
LCA,2002,4.62091016769409
LCA,2001,5.70733022689819
LCA,2000,5.70733022689819
KNA,2020,4.30000019073486
KNA,2019,4.30000019073486
KNA,2018,4.42000007629395
KNA,2017,4.25
KNA,2016,4.15000009536743
KNA,2015,2.6434600353241
KNA,2014,2.8372537791729
KNA,2013,3.0310475230216998
KNA,2012,3.2248412668705
KNA,2011,3.4186350107193
KNA,2010,3.6124287545681
KNA,2009,3.8062224984169
KNA,2008,4.0000162422657
KNA,2007,4.1938099861145
KNA,2006,4.05927991867065
KNA,2005,3.83144998550415
KNA,2004,3.9713499546051
KNA,2003,3.79099011421204
KNA,2002,3.92051005363464
KNA,2001,4.42154979705811
KNA,2000,4.74038982391357
PER,2020,4.24667978286743
PER,2019,3.81996011734009
PER,2018,3.71429991722107
PER,2017,3.93130993843079
PER,2016,3.81316995620728
PER,2015,3.96933007240295
PER,2014,3.69599008560181
PER,2013,3.29729008674622
PER,2012,2.92276000976563
PER,2011,2.6635000705719
PER,2010,2.86730003356934
PER,2009,3.13994002342224
PER,2008,2.8677499294281
PER,2007,2.62940001487732
PER,2006,2.65281009674072
PER,2005,2.83903002738953
PER,2004,2.95787000656128
PER,2003,2.93779993057251
PER,2002,2.82056999206543
PER,2001,3.03712010383606
PER,2000,3.22802996635437
PRY,2020,3.30362153053284
PRY,2019,3.46971011161804
PRY,2018,3.28320002555847
PRY,2017,3.08968997001648
PRY,2016,3.21391999721527
PRY,2015,3.33815002441406
PRY,2014,4.78911018371582
PRY,2013,4.80932998657227
PRY,2012,4.12979332605998
PRY,2011,3.4502566655476903
PRY,2010,2.7707200050354
PRY,2009,2.760316689809163
PRY,2008,2.7499133745829267
PRY,2007,2.73951005935669
PRY,2006,2.7829733689626064
PRY,2005,2.8264366785685233
PRY,2004,2.86989998817444
PRY,2003,3.3827600479126
PRY,2002,3.40773010253906
PRY,2001,3.83357000350952
PRY,2000,4.2302098274231
PAN,2020,3.90607142448425
PAN,2019,3.12736010551453
PAN,2018,2.8829300403595
PAN,2017,2.88224005699158
PAN,2016,2.84608006477356
PAN,2015,2.83628988265991
PAN,2014,3.11814498901367
PAN,2013,3.40000009536743
PAN,2012,3.2795050144195548
PAN,2011,3.15900993347168
PAN,2010,3.2734366257985434
PAN,2009,3.3878633181254068
PAN,2008,3.50229001045227
PAN,2007,3.5213825106620775
PAN,2006,3.540475010871885
PAN,2005,3.5595675110816924
PAN,2004,3.5786600112915
PAN,2003,4.16870021820068
PAN,2002,4.19163990020752
PAN,2001,4.10587978363037
PAN,2000,4.75968980789185
NIC,2020,4.63000011444092
NIC,2019,4.59999990463257
NIC,2018,4.46999979019165
NIC,2017,4.35769987106323
NIC,2016,4.08114004135132
NIC,2015,4.07843017578125
NIC,2014,4.08329010009766
NIC,2013,4.183527588844303
NIC,2012,4.283765077590945
NIC,2011,4.384002566337587
NIC,2010,4.48424005508423
NIC,2009,4.189635753631594
NIC,2008,3.895031452178956
NIC,2007,3.600427150726319
NIC,2006,3.3058228492736816
NIC,2005,3.0112185478210445
NIC,2004,2.7166142463684073
NIC,2003,2.42200994491577
NIC,2002,2.39101004600525
NIC,2001,2.6963050365448
NIC,2000,3.00160002708435
MEX,2020,4.2542200088501
MEX,2019,4.2542200088501
MEX,2018,4.2542200088501
MEX,2017,4.51821994781494
MEX,2016,4.90681982040405
MEX,2015,5.22942018508911
MEX,2014,5.25747013092041
MEX,2013,4.69605016708374
MEX,2012,5.10309982299805
MEX,2011,5.10564994812012
MEX,2010,5.15922021865845
MEX,2009,5.18794012069702
MEX,2008,4.82006978988647
MEX,2007,4.69050979614258
MEX,2006,4.69992017745972
MEX,2005,4.84568977355957
MEX,2004,4.72670984268188
MEX,2003,5.07257986068726
MEX,2002,4.45495986938477
MEX,2001,4.24104022979736
MEX,2000,3.99243998527527
JAM,2020,5.61749505996704
JAM,2019,5.16364002227783
JAM,2018,5.41380977630615
JAM,2017,5.26016998291016
JAM,2016,5.31461000442505
JAM,2015,5.45521020889282
JAM,2014,6.01586008071899
JAM,2013,6.25108003616333
JAM,2012,6.11246013641357
JAM,2011,6.26664018630981
JAM,2010,6.37060022354126
JAM,2009,6.19848012924194
JAM,2008,6.19131994247437
JAM,2007,5.49022006988525
JAM,2006,5.05331993103027
JAM,2005,4.61641979217529
JAM,2004,3.91254997253418
JAM,2003,4.25684976577759
JAM,2002,5.37522983551025
JAM,2001,5.38103008270264
JAM,2000,4.98346996307373
HND,2020,6.4384388923645
HND,2019,4.91284990310669
HND,2018,6.05646991729736
HND,2017,4.93701982498169
HND,2016,5.15961980819702
HND,2015,6.41297006607056
HND,2014,7.0901198387146
HND,2013,5.87492990493774
HND,2012,5.9874649047851545
HND,2011,6.09999990463257
HND,2010,6.80000019073486
HND,2009,6.80000019073486
HND,2008,6.80000019073486
HND,2007,6.80000019073486
HND,2006,6.80000019073486
HND,2005,6.80000019073486
HND,2004,6.80000019073486
HND,2003,6.80000019073486
HND,2002,6.80000019073486
HND,2001,6.80000019073486
HND,2000,6.80000019073486
HTI,2020,1.63206994533539
HTI,2019,1.63206994533539
HTI,2018,1.63206994533539
HTI,2017,1.50423002243042
HTI,2016,1.39585995674133
HTI,2015,1.85704004764557
HTI,2014,1.75314998626709
HTI,2013,1.75314998626709
HTI,2012,1.75314998626709
HTI,2011,1.75314998626709
HTI,2010,1.75314998626709
HTI,2009,1.75314998626709
HTI,2008,1.75314998626709
HTI,2007,1.75314998626709
HTI,2006,1.75314998626709
HTI,2005,1.75314998626709
HTI,2004,1.75314998626709
HTI,2003,1.75314998626709
HTI,2002,1.75314998626709
HTI,2001,1.75314998626709
HTI,2000,1.75314998626709
GUY,2020,4.45058012008667
GUY,2019,4.45058012008667
GUY,2018,4.45058012008667
GUY,2017,4.6647801399231
GUY,2016,4.73775005340576
GUY,2015,3.89569997787476
GUY,2014,4.36033010482788
GUY,2013,3.300824999809265
GUY,2012,2.24131989479065
GUY,2011,2.50669002532959
GUY,2010,2.40938997268677
GUY,2009,2.15057992935181
GUY,2008,2.27087497711182
GUY,2007,2.39117002487183
GUY,2006,3.11891007423401
GUY,2005,8.13973045349121
GUY,2004,5.51293992996216
GUY,2003,6.95590019226074
GUY,2002,8.36553955078125
GUY,2001,8.39729976654053
GUY,2000,8.48414993286133
GTM,2020,3.29972004890442
GTM,2019,3.19928002357483
GTM,2018,3.13704991340637
GTM,2017,2.95009994506836
GTM,2016,2.94474005699158
GTM,2015,3.03032994270325
GTM,2014,2.98562002182007
GTM,2013,2.88808989524841
GTM,2012,3.00524997711182
GTM,2011,2.96865010261536
GTM,2010,2.8486499786377
GTM,2009,3.04275500774384
GTM,2008,3.23686003684998
GTM,2007,3.08808994293213
GTM,2006,3.03285002708435
GTM,2005,3.03285002708435
GTM,2004,3.03285002708435
GTM,2003,3.03285002708435
GTM,2002,3.03285002708435
GTM,2001,3.03285002708435
GTM,2000,3.03285002708435
GRD,2020,3.55255007743835
GRD,2019,3.55255007743835
GRD,2018,3.55255007743835
GRD,2017,3.17379999160767
GRD,2016,3.706204891204835
GRD,2015,4.238609790802
GRD,2014,4.212620635827381
GRD,2013,4.186631480852762
GRD,2012,4.160642325878142
GRD,2011,4.1346531709035235
GRD,2010,4.1086640159289045
GRD,2009,4.082674860954285
GRD,2008,4.056685705979666
GRD,2007,4.030696551005047
GRD,2006,4.004707396030428
GRD,2005,3.9787182410558084
GRD,2004,3.952729086081189
GRD,2003,3.92673993110657
GRD,2002,3.92673993110657
GRD,2001,3.92673993110657
GRD,2000,3.92673993110657
SLV,2020,3.38515996932983
SLV,2019,3.38515996932983
SLV,2018,3.60575008392334
SLV,2017,3.7252299785614
SLV,2016,3.82523989677429
SLV,2015,3.90987992286682
SLV,2014,3.82416009902954
SLV,2013,3.80149006843567
SLV,2012,3.7124400138855
SLV,2011,3.89854001998901
SLV,2010,4.04807996749878
SLV,2009,4.65950012207031
SLV,2008,4.45810985565186
SLV,2007,3.60984992980957
SLV,2006,3.49298000335693
SLV,2005,3.17785000801086
SLV,2004,3.1562600135803196
SLV,2003,3.13467001914978
SLV,2002,3.242840051651
SLV,2001,3.040760040283205
SLV,2000,2.83868002891541
ECU,2020,4.13413000106812
ECU,2019,4.22565984725952
ECU,2018,4.6214599609375
ECU,2017,4.61426019668579
ECU,2016,4.36275005340576
ECU,2015,4.99870014190674
ECU,2014,5.26099014282227
ECU,2013,5.00464010238647
ECU,2012,4.64307022094727
ECU,2011,4.72689008712769
ECU,2010,4.50743007659912
ECU,2009,4.34242010116577
ECU,2008,3.9878100951512643
ECU,2007,3.633200089136759
ECU,2006,3.278590083122253
ECU,2005,2.9239800771077475
ECU,2004,2.569370071093242
ECU,2003,2.2147600650787362
ECU,2002,1.8601500590642308
ECU,2001,1.5055400530497254
ECU,2000,1.15093004703522
DOM,2020,4.61870241165161
DOM,2019,4.04276990890503
DOM,2018,3.92848992347717
DOM,2017,3.92026996612549
DOM,2016,3.85050010681152
DOM,2015,3.81624007225037
DOM,2014,3.96376991271973
DOM,2013,3.48054003715515
DOM,2012,2.49751996994019
DOM,2011,2.407373952865604
DOM,2010,2.317227935791018
DOM,2009,2.227081918716432
DOM,2008,2.136935901641846
DOM,2007,2.04678988456726
DOM,2006,1.9962549209594724
DOM,2005,1.945719957351685
DOM,2004,1.8951849937438974
DOM,2003,1.84465003013611
DOM,2002,1.9140100479126
DOM,2001,1.96782994270325
DOM,2000,1.88829004764557
DMA,2020,4.69630002975464
DMA,2019,5.57618999481201
DMA,2018,5.57154989242554
DMA,2017,4.7667498588562
DMA,2016,5.12972021102905
DMA,2015,3.40858006477356
DMA,2014,3.40858006477356
DMA,2013,3.40858006477356
DMA,2012,3.40858006477356
DMA,2011,3.40858006477356
DMA,2010,3.40858006477356
DMA,2009,3.40858006477356
DMA,2008,3.40858006477356
DMA,2007,3.40858006477356
DMA,2006,3.40858006477356
DMA,2005,3.40858006477356
DMA,2004,3.40858006477356
DMA,2003,3.40858006477356
DMA,2002,3.40858006477356
DMA,2001,3.40858006477356
DMA,2000,3.40858006477356
CUB,2020,12.8373098373413
CUB,2019,12.8373098373413
CUB,2018,12.8373098373413
CUB,2017,12.8373098373413
CUB,2016,12.8373098373413
CUB,2015,12.8373098373413
CUB,2014,12.8373098373413
CUB,2013,12.8373098373413
CUB,2012,12.8373098373413
CUB,2011,12.8373098373413
CUB,2010,12.8373098373413
CUB,2009,13.1248598098755
CUB,2008,14.0590801239014
CUB,2007,11.8682098388672
CUB,2006,9.05716991424561
CUB,2005,10.5577802658081
CUB,2004,10.2682304382324
CUB,2003,9.9408597946167
CUB,2002,9.57116985321045
CUB,2001,8.3580904006958
CUB,2000,7.70481014251709
CRI,2020,6.71066999435425
CRI,2019,6.79584980010986
CRI,2018,6.76991987228394
CRI,2017,7.06980991363525
CRI,2016,6.89395999908447
CRI,2015,6.87349987030029
CRI,2014,6.67952013015747
CRI,2013,6.68739986419678
CRI,2012,6.58239984512329
CRI,2011,6.37988996505737
CRI,2010,6.56574010848999
CRI,2009,6.01030015945435
CRI,2008,4.88697004318237
CRI,2007,4.6345100402832
CRI,2006,4.61613988876343
CRI,2005,4.753384828567505
CRI,2004,4.89062976837158
CRI,2003,5.13373994827271
CRI,2002,5.15044021606445
CRI,2001,4.83202981948853
CRI,2000,4.66695022583008
COL,2020,4.93310022354126
COL,2019,4.5062198638916
COL,2018,4.44910001754761
COL,2017,4.53551006317139
COL,2016,4.47721004486084
COL,2015,4.47038984298706
COL,2014,4.62945985794067
COL,2013,4.87855005264282
COL,2012,4.37038993835449
COL,2011,4.46608018875122
COL,2010,4.83382987976074
COL,2009,4.77651977539063
COL,2008,3.9387800693512
COL,2007,4.08301019668579
COL,2006,3.91671991348267
COL,2005,4.02098989486694
COL,2004,4.07934999465942
COL,2003,4.32513999938965
COL,2002,4.26812982559204
COL,2001,3.70867991447449
COL,2000,3.5112099647522
CHL,2020,5.43316984176636
CHL,2019,5.43316984176636
CHL,2018,5.43316984176636
CHL,2017,5.41966009140015
CHL,2016,5.34201002120972
CHL,2015,4.87530994415283
CHL,2014,4.73094987869263
CHL,2013,4.52942991256714
CHL,2012,4.287309885025024
CHL,2011,4.04518985748291
CHL,2010,4.16208982467651
CHL,2009,4.23064994812012
CHL,2008,3.79242992401123
CHL,2007,3.21378993988037
CHL,2006,3.02152991294861
CHL,2005,3.26283001899719
CHL,2004,3.53838992118835
CHL,2003,3.96345996856689
CHL,2002,4.08121013641357
CHL,2001,3.9285200834274248
CHL,2000,3.77583003044128
CAN,2020,5.26205015182495
CAN,2019,5.26205015182495
CAN,2018,5.26205015182495
CAN,2017,5.26205015182495
CAN,2016,5.26205015182495
CAN,2015,5.26205015182495
CAN,2014,5.26205015182495
CAN,2013,5.26205015182495
CAN,2012,5.26205015182495
CAN,2011,5.26205015182495
CAN,2010,5.356369972229
CAN,2009,4.84057998657227
CAN,2008,4.62612009048462
CAN,2007,4.7664098739624
CAN,2006,4.76614499092102
CAN,2005,4.76588010787964
CAN,2004,4.841613451639813
CAN,2003,4.917346795399986
CAN,2002,4.99308013916016
CAN,2001,4.95303010940552
CAN,2000,5.42331981658936
BRA,2020,6.08851003646851
BRA,2019,6.08851003646851
BRA,2018,6.08851003646851
BRA,2017,6.32047986984253
BRA,2016,6.314040184021
BRA,2015,6.24105978012085
BRA,2014,5.94848012924194
BRA,2013,5.8388500213623
BRA,2012,5.85510015487671
BRA,2011,5.73741006851196
BRA,2010,5.64879989624023
BRA,2009,5.46355009078979
BRA,2008,5.26883983612061
BRA,2007,4.97425985336304
BRA,2006,4.87060022354126
BRA,2005,4.47908020019531
BRA,2004,3.97447991371155
BRA,2003,3.8624249696731603
BRA,2002,3.75037002563477
BRA,2001,3.84468007087708
BRA,2000,3.94893002510071
BOL,2020,8.89999961853027
BOL,2019,8.89999961853027
BOL,2018,8.89999961853027
BOL,2017,8.65999984741211
BOL,2016,8.85000038146973
BOL,2015,8.9399995803833
BOL,2014,8.26000022888184
BOL,2013,7.57999992370605
BOL,2012,7.90000009536743
BOL,2011,7.07000017166138
BOL,2010,7.80999994277954
BOL,2009,7.80999994277954
BOL,2008,7.80999994277954
BOL,2007,7.80999994277954
BOL,2006,7.80999994277954
BOL,2005,7.80999994277954
BOL,2004,7.80999994277954
BOL,2003,7.80999994277954
BOL,2002,7.80999994277954
BOL,2001,7.80999994277954
BOL,2000,7.80999994277954
BLZ,2020,7.52877759933472
BLZ,2019,7.1383900642395
BLZ,2018,7.47227001190186
BLZ,2017,7.45028018951416
BLZ,2016,7.29365015029907
BLZ,2015,6.87015008926392
BLZ,2014,6.61468982696533
BLZ,2013,6.42537021636963
BLZ,2012,6.523500124613443
BLZ,2011,6.621630032857256
BLZ,2010,6.71975994110107
BLZ,2009,6.1781702041626
BLZ,2008,5.77263021469116
BLZ,2007,5.663447618484495
BLZ,2006,5.55426502227783
BLZ,2005,5.445082426071165
BLZ,2004,5.3358998298645
BLZ,2003,5.24820995330811
BLZ,2002,5.522569894790649
BLZ,2001,5.79692983627319
BLZ,2000,5.02842998504639
BRB,2020,3.05817008018494
BRB,2019,3.20398998260498
BRB,2018,5.42886018753052
BRB,2017,4.36638021469116
BRB,2016,4.70732021331787
BRB,2015,5.38291883468628
BRB,2014,6.14349985122681
BRB,2013,5.14899015426636
BRB,2012,5.26274013519287
BRB,2011,5.6585700511932355
BRB,2010,6.0543999671936
BRB,2009,5.11617994308472
BRB,2008,4.92259979248047
BRB,2007,5.22038984298706
BRB,2006,5.44501996040344
BRB,2005,5.66965007781982
BRB,2004,6.02428007125854
BRB,2003,6.24569988250732
BRB,2002,5.88062000274658
BRB,2001,6.05536985397339
BRB,2000,4.71585988998413
ARG,2020,4.72417020797729
ARG,2019,4.72417020797729
ARG,2018,4.87773990631104
ARG,2017,5.45431995391846
ARG,2016,5.54548978805542
ARG,2015,5.77611017227173
ARG,2014,5.36144018173218
ARG,2013,5.43661022186279
ARG,2012,5.34582996368408
ARG,2011,5.29062986373901
ARG,2010,5.01971006393433
ARG,2009,5.53105020523071
ARG,2008,4.84440994262695
ARG,2007,4.46260023117065
ARG,2006,4.12821006774902
ARG,2005,3.86000990867615
ARG,2004,3.48652005195618
ARG,2003,3.53504991531372
ARG,2002,4.01734018325806
ARG,2001,4.833740234375
ARG,2000,4.58030986785889
ATG,2020,3.453125
ATG,2019,2.83133506774902
ATG,2018,2.64407563209534
ATG,2017,2.44847750663757
ATG,2016,2.43080449104309
ATG,2015,2.4419595514025
ATG,2014,2.45311461176191
ATG,2013,2.4642696721213198
ATG,2012,2.47542473248073
ATG,2011,2.48657979284014
ATG,2010,2.49773485319955
ATG,2009,2.50888991355896
ATG,2008,2.635512794767107
ATG,2007,2.7621356759752542
ATG,2006,2.8887585571834014
ATG,2005,3.0153814383915485
ATG,2004,3.1420043195996956
ATG,2003,3.2686272008078427
ATG,2002,3.39525008201599
ATG,2001,3.39525008201599
ATG,2000,3.39525008201599
