id_pais,year,pib
VEN,2020,482359318767.703
VEN,2019,482359318767.703
VEN,2018,482359318767.703
VEN,2017,482359318767.703
VEN,2016,482359318767.703
VEN,2015,482359318767.703
VEN,2014,482359318767.703
VEN,2013,371005379786.566
VEN,2012,381286237847.667
VEN,2011,316482190800.364
VEN,2010,393192354510.653
VEN,2009,329787628928.471
VEN,2008,315953388510.678
VEN,2007,230364012575.687
VEN,2006,183477522123.894
VEN,2005,145510008134.75
VEN,2004,112453382329.615
VEN,2003,83620628582.1082
VEN,2002,92893587733.6549
VEN,2001,122903960204.505
VEN,2000,117140723529.412
URY,2020,53560755046.5726
URY,2019,61231149880.5857
URY,2018,64515038268.1373
URY,2017,64233966861.2518
URY,2016,57236652490.1699
URY,2015,53274304222.136
URY,2014,57236013086.1223
URY,2013,57531233350.9101
URY,2012,51264390116.4909
URY,2011,47962439303.7247
URY,2010,40284481651.9021
URY,2009,31660911277.0294
URY,2008,30366213119.2928
URY,2007,23410572634.3147
URY,2006,19579457966.0538
URY,2005,17362857683.8545
URY,2004,13686329890.1191
URY,2003,12045631092.5353
URY,2002,13606494599.4261
URY,2001,20898788416.6348
URY,2000,22823255801.8447
USA,2020,20893743833000.0
USA,2019,21372572437000.0
USA,2018,20527156026000.0
USA,2017,19479620056000.0
USA,2016,18695110842000.0
USA,2015,18206020741000.0
USA,2014,17550680174000.0
USA,2013,16843190993000.0
USA,2012,16253972230000.0
USA,2011,15599728123000.0
USA,2010,15048964444000.0
USA,2009,14478064934000.0
USA,2008,14769857911000.0
USA,2007,14474226905000.0
USA,2006,13815586948000.0
USA,2005,13039199193000.0
USA,2004,12217193198000.0
USA,2003,11456442041000.0
USA,2002,10929112955000.0
USA,2001,10581929774000.0
USA,2000,10250947997000.0
TTO,2020,21392536137.7724
TTO,2019,23886216403.3455
TTO,2018,23820742956.9744
TTO,2017,23180107751.9208
TTO,2016,22373566809.8206
TTO,2015,25191551350.4204
TTO,2014,27642525749.3456
TTO,2013,27294453245.3822
TTO,2012,25781712702.8567
TTO,2011,25433011405.3017
TTO,2010,22157948396.2042
TTO,2009,19172165225.5015
TTO,2008,27871587349.5413
TTO,2007,21641620049.9352
TTO,2006,18369361094.3886
TTO,2005,15982282462.3786
TTO,2004,13280275123.0354
TTO,2003,11305459802.0683
TTO,2002,9008273720.93395
TTO,2001,8824873259.32105
TTO,2000,8154338232.95978
BHS,2020,9699500000.0
BHS,2019,13192800000.0
BHS,2018,12755800000.0
BHS,2017,12357600000.0
BHS,2016,11834600000.0
BHS,2015,11861900000.0
BHS,2014,11176100000.0
BHS,2013,10562800000.0
BHS,2012,10720500000.0
BHS,2011,10070450000.0
BHS,2010,10095760000.0
BHS,2009,9981960000.0
BHS,2008,10526000000.0
BHS,2007,10618340000.0
BHS,2006,10167250000.0
BHS,2005,9836200000.0
BHS,2004,9055290000.0
BHS,2003,8870090000.0
BHS,2002,8881160000.0
BHS,2001,8317830000.0
BHS,2000,8076470000.0
SUR,2020,2884248048.49068
SUR,2019,3984483762.37123
SUR,2018,3996247906.19765
SUR,2017,3591623596.03082
SUR,2016,3317438910.83068
SUR,2015,5126291450.81511
SUR,2014,5240606060.60606
SUR,2013,5145757575.75758
SUR,2012,4980000000.0
SUR,2011,4422276621.78703
SUR,2010,4368398047.64333
SUR,2009,3875409836.06557
SUR,2008,3532969034.60838
SUR,2007,2936612021.85792
SUR,2006,2626380435.17877
SUR,2005,1793388732.29125
SUR,2004,1484092538.40527
SUR,2003,1274190311.41869
SUR,2002,1093574468.08511
SUR,2001,834279357.798165
SUR,2000,947671969.69697
VCT,2020,872134546.803407
VCT,2019,910149698.909411
VCT,2018,884328180.526933
VCT,2017,847620214.758074
VCT,2016,814302267.073348
VCT,2015,786554580.796867
VCT,2014,770901436.441118
VCT,2013,764781242.711841
VCT,2012,730032600.112785
VCT,2011,713796368.701918
VCT,2010,720447880.162422
VCT,2009,714300243.780263
VCT,2008,732663263.520122
VCT,2007,713596662.150052
VCT,2006,643501156.905918
VCT,2005,579948909.317389
VCT,2004,549900170.097826
VCT,2003,509090899.073489
VCT,2002,487763848.934593
VCT,2001,462072315.600659
VCT,2000,427946038.687133
LCA,2020,1616772748.14815
LCA,2019,2118791548.14815
LCA,2018,2065127262.96296
LCA,2017,1996771440.74074
LCA,2016,1865513429.62963
LCA,2015,1808079888.88889
LCA,2014,1755130814.81481
LCA,2013,1664816740.74074
LCA,2012,1605146777.77778
LCA,2011,1576988407.40741
LCA,2010,1486758037.03704
LCA,2009,1401507888.88889
LCA,2008,1437731111.11111
LCA,2007,1336088814.81481
LCA,2006,1268319185.18519
LCA,2005,1135555555.55556
LCA,2004,1066666666.66667
LCA,2003,987407407.407407
LCA,2002,900000000.0
LCA,2001,892592592.592592
LCA,2000,932592592.592592
KNA,2020,980905888.888889
KNA,2019,1164877851.85185
KNA,2018,1078505888.88889
KNA,2017,1060638333.33333
KNA,2016,1008942296.2963
KNA,2015,958407222.222222
KNA,2014,954062481.481481
KNA,2013,875376407.407407
KNA,2012,826231629.62963
KNA,2011,836092407.407407
KNA,2010,778718111.111111
KNA,2009,774273111.111111
KNA,2008,777691333.333333
KNA,2007,689285185.185185
KNA,2006,644414814.814815
KNA,2005,547203703.703704
KNA,2004,506900000.0
KNA,2003,469869869.86987
KNA,2002,481077373.669966
KNA,2001,458643829.014199
KNA,2000,421695769.843918
PER,2020,201705055938.653
PER,2019,228323495040.901
PER,2018,222597212925.211
PER,2017,211007207483.515
PER,2016,191895943823.887
PER,2015,189805300841.603
PER,2014,200789362451.567
PER,2013,201175469114.327
PER,2012,192648999090.082
PER,2011,171761737046.585
PER,2010,147528937028.778
PER,2009,120822986521.479
PER,2008,120550599815.441
PER,2007,102170981144.136
PER,2006,88643193061.748
PER,2005,76060606060.6061
PER,2004,66768703497.5687
PER,2003,58731030121.8671
PER,2002,54777553515.0809
PER,2001,52030158775.4055
PER,2000,51744749133.213
PRY,2020,35432178068.1756
PRY,2019,37925338329.156
PRY,2018,40225448340.6322
PRY,2017,38997129473.5558
PRY,2016,36089550659.0914
PRY,2015,36211372702.8085
PRY,2014,40377987208.689
PRY,2013,38651334287.6732
PRY,2012,33296438306.4747
PRY,2011,33737052170.4898
PRY,2010,27129301212.1792
PRY,2009,22355161514.3516
PRY,2008,24615276689.8602
PRY,2007,17856393235.4338
PRY,2006,13429430050.261
PRY,2005,10737500188.1123
PRY,2004,9624440836.29309
PRY,2003,7691367471.17992
PRY,2002,7196260656.84556
PRY,2001,8495806432.18467
PRY,2000,8855705139.55857
PAN,2020,53977037000.0
PAN,2019,66984427200.0
PAN,2018,64929409200.0
PAN,2017,62202725200.0
PAN,2016,57907695400.0
PAN,2015,54091713800.0
PAN,2014,49921464400.0
PAN,2013,45599994000.0
PAN,2012,40429734400.0
PAN,2011,34686224300.0
PAN,2010,29440287600.0
PAN,2009,27116635600.0
PAN,2008,25155888600.0
PAN,2007,21295984200.0
PAN,2006,18141666300.0
PAN,2005,16374393900.0
PAN,2004,15013381700.0
PAN,2003,13693981200.0
PAN,2002,12994310400.0
PAN,2001,12502013400.0
PAN,2000,12304115000.0
NIC,2020,12586941392.6347
NIC,2019,12596636042.2321
NIC,2018,13025239912.2751
NIC,2017,13785909906.1925
NIC,2016,13286083644.8761
NIC,2015,12756706583.3113
NIC,2014,11880434070.7811
NIC,2013,10982979274.1922
NIC,2012,10532006608.1447
NIC,2011,9774307336.23792
NIC,2010,8758639096.47693
NIC,2009,8298679908.55232
NIC,2008,8496946608.23151
NIC,2007,7423313548.52698
NIC,2006,6763361732.88486
NIC,2005,6321335612.22233
NIC,2004,5795568204.64532
NIC,2003,5322454925.84746
NIC,2002,5224213017.54386
NIC,2001,5323146565.70315
NIC,2000,5107329007.0922
MEX,2020,1087117783073.31
MEX,2019,1269404276770.7
MEX,2018,1222408203104.3
MEX,2017,1158913035796.37
MEX,2016,1078490651625.31
MEX,2015,1171867608197.72
MEX,2014,1315351183524.54
MEX,2013,1274443084716.57
MEX,2012,1201089987015.45
MEX,2011,1180489601957.61
MEX,2010,1057801295584.05
MEX,2009,900045350649.351
MEX,2008,1109989063586.62
MEX,2007,1052696282278.87
MEX,2006,975387131716.089
MEX,2005,877476221382.101
MEX,2004,782240601984.76
MEX,2003,729336319677.449
MEX,2002,772106378935.377
MEX,2001,756706300589.791
MEX,2000,707906744574.644
JAM,2020,13812425036.5864
JAM,2019,15830768549.8916
JAM,2018,15730793852.7913
JAM,2017,14808989993.3185
JAM,2016,14077109396.8584
JAM,2015,14188935947.5694
JAM,2014,13899228824.2161
JAM,2013,14264202737.3082
JAM,2012,14807086889.2099
JAM,2011,14444655299.8772
JAM,2010,13220556882.7046
JAM,2009,12120460872.8003
JAM,2008,13709402085.3206
JAM,2007,12799593017.7101
JAM,2006,11930171468.3796
JAM,2005,11243868485.7428
JAM,2004,10174664853.9476
JAM,2003,9430230564.4699
JAM,2002,9719017925.92929
JAM,2001,9194717835.99985
JAM,2000,9005064474.93003
HND,2020,23827840809.7014
HND,2019,25089976946.7736
HND,2018,24067778953.842
HND,2017,23136232229.6069
HND,2016,21717622071.3816
HND,2015,20979767785.2104
HND,2014,19756494434.7031
HND,2013,18499710127.8385
HND,2012,18528601901.324
HND,2011,17710315005.9999
HND,2010,15839344591.9842
HND,2009,14587496229.1811
HND,2008,13881701033.6546
HND,2007,12361257680.5627
HND,2006,10917481688.4711
HND,2005,9757034456.7578
HND,2004,8869311410.95131
HND,2003,8230387552.2259
HND,2002,7858235333.4834
HND,2001,7651174661.42872
HND,2000,7186650135.43927
HTI,2020,14508218017.4032
HTI,2019,14785839382.9002
HTI,2018,16455034352.7671
HTI,2017,15035560372.6443
HTI,2016,13987693738.923
HTI,2015,14833154471.7456
HTI,2014,15139264670.4225
HTI,2013,14902474090.615
HTI,2012,13708926466.2732
HTI,2011,13008754110.8113
HTI,2010,11859315078.7902
HTI,2009,11597014807.3496
HTI,2008,10485225353.1801
HTI,2007,9522763153.81366
HTI,2006,7518107786.51149
HTI,2005,7184064657.2953
HTI,2004,6036959914.72398
HTI,2003,4826827577.08641
HTI,2002,6058134466.75258
HTI,2001,6331961555.40914
HTI,2000,6813577558.17628
GUY,2020,5471256594.72422
GUY,2019,5173760191.84652
GUY,2018,4787636237.24043
GUY,2017,4748174334.14044
GUY,2016,4482697336.56174
GUY,2015,4279840193.7046
GUY,2014,4127659492.02031
GUY,2013,4167800259.20888
GUY,2012,4063089191.87525
GUY,2011,3691384317.52178
GUY,2010,3432913073.24154
GUY,2009,3165663152.73351
GUY,2008,3025187923.58617
GUY,2007,2730971150.01134
GUY,2006,2379818382.99241
GUY,2005,824880550.343965
GUY,2004,787814379.183843
GUY,2003,743064076.794567
GUY,2002,726131434.715338
GUY,2001,712167575.624277
GUY,2000,712667896.727512
GTM,2020,77604632620.6473
GTM,2019,77020015201.3201
GTM,2018,73208583758.9105
GTM,2017,71654134378.5299
GTM,2016,66053725049.0138
GTM,2015,62186186575.7433
GTM,2014,57852399963.7878
GTM,2013,52996540703.5943
GTM,2012,49593961141.7484
GTM,2011,46876114650.4996
GTM,2010,40676432028.5934
GTM,2009,37125943564.9873
GTM,2008,38503862830.6878
GTM,2007,33567868322.6252
GTM,2006,29744368110.9094
GTM,2005,26783543667.064
GTM,2004,23577286226.6407
GTM,2003,21576351798.9145
GTM,2002,20444205991.025
GTM,2001,18405203853.1036
GTM,2000,19288827158.9035
GRD,2020,1043411111.11111
GRD,2019,1213485185.18519
GRD,2018,1166523555.55556
GRD,2017,1125685185.18519
GRD,2016,1061640740.74074
GRD,2015,997007925.925926
GRD,2014,911497407.407407
GRD,2013,842620111.111111
GRD,2012,799882259.259259
GRD,2011,778655925.925926
GRD,2010,771013259.259259
GRD,2009,771275555.555555
GRD,2008,825976037.037037
GRD,2007,758683592.592593
GRD,2006,698700666.666667
GRD,2005,695555555.555555
GRD,2004,599118592.592593
GRD,2003,591018407.407407
GRD,2002,540336925.925926
GRD,2001,520444185.185185
GRD,2000,520044370.37037
SLV,2020,24638720000.0
SLV,2019,26896660000.0
SLV,2018,26020850000.0
SLV,2017,24979190000.0
SLV,2016,24191430000.0
SLV,2015,23438240000.0
SLV,2014,22593470000.0
SLV,2013,21990960000.0
SLV,2012,21386150000.0
SLV,2011,20283780000.0
SLV,2010,18447920000.0
SLV,2009,17601620000.0
SLV,2008,17986890000.0
SLV,2007,17011750000.0
SLV,2006,15999890000.0
SLV,2005,14698000000.0
SLV,2004,13724810900.0
SLV,2003,13243892200.0
SLV,2002,12664190300.0
SLV,2001,12282533600.0
SLV,2000,11784927700.0
ECU,2020,99291124000.0
ECU,2019,108108009000.0
ECU,2018,107562008000.0
ECU,2017,104295862000.0
ECU,2016,99937696000.0
ECU,2015,99290381000.0
ECU,2014,101726331000.0
ECU,2013,95129659000.0
ECU,2012,87924544000.0
ECU,2011,79276664000.0
ECU,2010,69555367000.0
ECU,2009,62519686000.0
ECU,2008,61762635000.0
ECU,2007,51007777000.0
ECU,2006,46802044000.0
ECU,2005,41507085000.0
ECU,2004,36591661000.0
ECU,2003,32432858000.0
ECU,2002,28548945000.0
ECU,2001,24468324000.0
ECU,2000,18327764882.4412
DOM,2020,78844702329.0785
DOM,2019,88941299733.5018
DOM,2018,85555378042.8196
DOM,2017,79997975621.8654
DOM,2016,75704720189.5607
DOM,2015,71164825256.6849
DOM,2014,67179914026.9623
DOM,2013,62682163837.347
DOM,2012,60681537195.7996
DOM,2011,58029750745.6495
DOM,2010,53860175555.9961
DOM,2009,48261033298.2133
DOM,2008,48122547177.1881
DOM,2007,43965420072.4107
DOM,2006,37879869897.8979
DOM,2005,35777570135.5225
DOM,2004,22322395368.0274
DOM,2003,21403167848.1444
DOM,2002,27137508656.8522
DOM,2001,25601765400.5153
DOM,2000,24305717541.6371
DMA,2020,504214814.814815
DMA,2019,611537037.037037
DMA,2018,554770370.37037
DMA,2017,521551851.851852
DMA,2016,576229629.62963
DMA,2015,540737037.037037
DMA,2014,520207407.407407
DMA,2013,498296296.296296
DMA,2012,485996296.296296
DMA,2011,501025925.925926
DMA,2010,493825925.925926
DMA,2009,489074074.074074
DMA,2008,458188888.888889
DMA,2007,421374074.074074
DMA,2006,390251851.851852
DMA,2005,364255555.555556
DMA,2004,367200000.0
DMA,2003,343311111.111111
DMA,2002,333196296.296296
DMA,2001,340203703.703704
DMA,2000,333470370.37037
CUB,2020,107352000000.0
CUB,2019,103428000000.0
CUB,2018,100050000000.0
CUB,2017,96851000000.0
CUB,2016,91370000000.0
CUB,2015,87133000000.0
CUB,2014,80656000000.0
CUB,2013,77148000000.0
CUB,2012,73141000000.0
CUB,2011,68990000000.0
CUB,2010,59562962962.963
CUB,2009,57481481481.4815
CUB,2008,56302129629.6296
CUB,2007,54262870370.3704
CUB,2006,48835925925.9259
CUB,2005,42643836100.0
CUB,2004,38203000000.0
CUB,2003,35901200000.0
CUB,2002,33590500000.0
CUB,2001,31682400000.0
CUB,2000,30565400000.0
CRI,2020,62158002233.0279
CRI,2019,64417670082.6127
CRI,2018,62420165099.7231
CRI,2017,60516043590.1832
CRI,2016,58847016044.7363
CRI,2015,56441917652.9812
CRI,2014,52016408950.8936
CRI,2013,50949672205.9168
CRI,2012,47231651862.8399
CRI,2011,42762617081.6522
CRI,2010,37658614803.2775
CRI,2009,30745712006.5307
CRI,2008,30801744881.0001
CRI,2007,26884700345.0342
CRI,2006,22715540324.3032
CRI,2005,20040642476.9817
CRI,2004,18610594846.2083
CRI,2003,17271760506.9483
CRI,2002,16578820687.2881
CRI,2001,15976174336.9721
CRI,2000,15013629658.6521
COL,2020,270299982887.01
COL,2019,323109543324.321
COL,2018,334198214706.209
COL,2017,311883730690.129
COL,2016,282825009887.458
COL,2015,293481748240.778
COL,2014,381112119657.445
COL,2013,382116126448.554
COL,2012,370921320483.841
COL,2011,334943871931.745
COL,2010,286563105192.456
COL,2009,232397835678.336
COL,2008,242186950900.775
COL,2007,206181826825.28
COL,2006,161618581266.316
COL,2005,145619191582.061
COL,2004,117081522349.677
COL,2003,94641378693.223
COL,2002,97963003804.7851
COL,2001,98211749595.5442
COL,2000,99886577330.7271
CHL,2020,252727193710.018
CHL,2019,278584733103.01
CHL,2018,295402652037.155
CHL,2017,276364933679.626
CHL,2016,249298719723.108
CHL,2015,242496649874.236
CHL,2014,259405202008.001
CHL,2013,277239461340.404
CHL,2012,267175872540.066
CHL,2011,251224856981.294
CHL,2010,217105420016.533
CHL,2009,171412642047.328
CHL,2008,179663403196.985
CHL,2007,172565850839.158
CHL,2006,153840051814.059
CHL,2005,122314960843.922
CHL,2004,99079230169.6389
CHL,2003,76507577234.5965
CHL,2002,70294892400.0639
CHL,2001,71517080040.6338
CHL,2000,78249883995.6255
CAN,2020,1645423407568.36
CAN,2019,1742015045482.31
CAN,2018,1725329192783.02
CAN,2017,1649265644244.09
CAN,2016,1527994741907.43
CAN,2015,1556508816217.14
CAN,2014,1805749878439.94
CAN,2013,1846597421834.98
CAN,2012,1828366481521.6
CAN,2011,1793326630174.52
CAN,2010,1617343367486.26
CAN,2009,1374625142157.29
CAN,2008,1552989690721.65
CAN,2007,1468820407783.26
CAN,2006,1319264809590.97
CAN,2005,1173108598778.68
CAN,2004,1026690238278.25
CAN,2003,895540646634.787
CAN,2002,760649334098.005
CAN,2001,738981792355.372
CAN,2000,744773415931.587
BRA,2020,1448565936739.56
BRA,2019,1873288158977.23
BRA,2018,1916933708381.89
BRA,2017,2063514688761.98
BRA,2016,1795693265810.23
BRA,2015,1802211999538.68
BRA,2014,2456043766028.73
BRA,2013,2472819362216.69
BRA,2012,2465228293894.01
BRA,2011,2616156606666.62
BRA,2010,2208838108577.09
BRA,2009,1666996294372.87
BRA,2008,1695855391810.9
BRA,2007,1397114247331.17
BRA,2006,1107626711406.63
BRA,2005,891633826603.377
BRA,2004,669289321944.516
BRA,2003,558233724164.711
BRA,2002,509795270685.19
BRA,2001,559983704094.17
BRA,2000,655448188259.351
BOL,2020,36629843806.0781
BOL,2019,40895322850.9407
BOL,2018,40287647930.5355
BOL,2017,37508642170.767
BOL,2016,33941126193.9219
BOL,2015,33000198248.9146
BOL,2014,32996188017.3661
BOL,2013,30659338885.6729
BOL,2012,27084497481.9103
BOL,2011,23963033429.4364
BOL,2010,19649631308.1648
BOL,2009,17339992193.7322
BOL,2008,16674324661.8681
BOL,2007,13120183207.6625
BOL,2006,11451869202.1569
BOL,2005,9549077918.69677
BOL,2004,8773451751.5121
BOL,2003,8082364816.16879
BOL,2002,7905485146.44351
BOL,2001,8141537877.06791
BOL,2000,8397912525.26886
BLZ,2020,1585631670.3461
BLZ,2019,1945250235.57603
BLZ,2018,1887465218.48204
BLZ,2017,1844906692.53913
BLZ,2016,1796928936.71505
BLZ,2015,1734320479.1395
BLZ,2014,1676406801.54095
BLZ,2013,1581844936.42351
BLZ,2012,1531348953.18392
BLZ,2011,1466822039.4102
BLZ,2010,1387925188.49004
BLZ,2009,1320605471.63149
BLZ,2008,1352588867.72777
BLZ,2007,1283112549.99844
BLZ,2006,1211148304.51368
BLZ,2005,1111453823.62023
BLZ,2004,1057653620.03465
BLZ,2003,990727709.549365
BLZ,2002,932292858.88771
BLZ,2001,871590369.32848
BLZ,2000,832072450.0
BRB,2020,4689534961.75956
BRB,2019,5304164323.2532
BRB,2018,5097283213.13965
BRB,2017,4981588899.82409
BRB,2016,4832811755.56467
BRB,2015,4724691212.50593
BRB,2014,4696344341.64326
BRB,2013,4677248301.89959
BRB,2012,4610095997.77104
BRB,2011,4657699461.45637
BRB,2010,4529928302.16747
BRB,2009,4465657314.64407
BRB,2008,4784925079.03312
BRB,2007,4674007452.49163
BRB,2006,4217450802.54938
BRB,2005,3819500000.0
BRB,2004,3444500000.0
BRB,2003,3209500000.0
BRB,2002,3106500000.0
BRB,2001,3054500000.0
BRB,2000,3059500000.0
ARG,2020,389591035520.675
ARG,2019,452818426182.658
ARG,2018,524819742918.669
ARG,2017,643628665302.155
ARG,2016,557531376217.967
ARG,2015,594749285413.212
ARG,2014,526319673731.638
ARG,2013,552025140252.246
ARG,2012,545982375701.128
ARG,2011,530163281574.658
ARG,2010,423627422092.49
ARG,2009,332976484577.619
ARG,2008,361558037110.419
ARG,2007,287530508430.568
ARG,2006,232557260817.308
ARG,2005,198737095012.282
ARG,2004,164657930452.787
ARG,2003,127586973492.177
ARG,2002,97724004251.8602
ARG,2001,268696750000.0
ARG,2000,284203750000.0
ATG,2020,1370281481.48148
ATG,2019,1687533333.33333
ATG,2018,1605944444.44444
ATG,2017,1467977777.77778
ATG,2016,1436585185.18519
ATG,2015,1336692592.59259
ATG,2014,1249733333.33333
ATG,2013,1181448148.14815
ATG,2012,1199948148.14815
ATG,2011,1137637037.03704
ATG,2010,1148700000.0
ATG,2009,1228329629.62963
ATG,2008,1370070370.37037
ATG,2007,1312759259.25926
ATG,2006,1157662962.96296
ATG,2005,1022962962.96296
ATG,2004,919729629.62963
ATG,2003,856396296.296296
ATG,2002,814381481.481481
ATG,2001,800481481.481481
ATG,2000,826370370.37037
