PAIS,NOMBRE PAIS,ANIO,TRAB.INDEX,ESPERANZA
ARG,Argentina,2000,2830.575346949385,73.926
ARG,Argentina,2001,2562.519107651098,74.1864
ARG,Argentina,2002,1408.3369657290004,74.408
ARG,Argentina,2003,1362.6054331844164,74.0801
ARG,Argentina,2004,1308.1442820411635,74.8549
ARG,Argentina,2005,1686.1776270665584,75.1388
ARG,Argentina,2006,2221.043896397128,75.4326
ARG,Argentina,2007,2665.560697639064,75.0057
ARG,Argentina,2008,3138.670961859208,75.6411
ARG,Argentina,2009,3193.545123104917,75.9359
ARG,Argentina,2010,3808.722472264393,75.7208
ARG,Argentina,2011,4472.345913829094,76.124
ARG,Argentina,2012,4950.574328573478,76.4669
ARG,Argentina,2013,5340.157388816679,76.4908
ARG,Argentina,2014,5080.311478925228,76.7549
ARG,Argentina,2015,5161.692866028875,76.7602
ARG,Argentina,2016,4965.178446302632,76.3077
ARG,Argentina,2017,5316.968906961594,76.833
ARG,Argentina,2018,5060.004993875423,76.9994
ARG,Argentina,2019,4615.244471626156,77.2845
ARG,Argentina,2020,3403.1992533270827,75.8921
ATG,Antigua & Barbuda,2000,3865.6847395634613,74.6058
ATG,Antigua & Barbuda,2001,3798.8045899601098,75.0781
ATG,Antigua & Barbuda,2002,3757.132749240083,75.5357
ATG,Antigua & Barbuda,2003,4129.364905246435,75.4778
ATG,Antigua & Barbuda,2004,4534.141287166914,75.6721
ATG,Antigua & Barbuda,2005,5112.108713265081,75.8254
ATG,Antigua & Barbuda,2006,5924.8681617602615,75.7647
ATG,Antigua & Barbuda,2007,6705.3696937961895,76.1311
ATG,Antigua & Barbuda,2008,6979.2403447549,76.4103
ATG,Antigua & Barbuda,2009,6228.44033524319,76.6694
ATG,Antigua & Barbuda,2010,5738.249914801772,76.8195
ATG,Antigua & Barbuda,2011,5631.156638655462,77.1038
ATG,Antigua & Barbuda,2012,6032.852102160231,77.3502
ATG,Antigua & Barbuda,2013,5925.511310239318,77.5834
ATG,Antigua & Barbuda,2014,6030.816965925542,77.8577
ATG,Antigua & Barbuda,2015,6222.645905248421,77.9127
ATG,Antigua & Barbuda,2016,6625.206728734659,78.1516
ATG,Antigua & Barbuda,2017,7151.371233953367,78.2683
ATG,Antigua & Barbuda,2018,8057.9265075507365,78.5112
ATG,Antigua & Barbuda,2019,8422.446378005458,78.6912
ATG,Antigua & Barbuda,2020,6852.955742994854,78.8406
BHS,Bahamas,2000,13229.130097804024,72.0411
BHS,Bahamas,2001,13398.661546900714,72.1101
BHS,Bahamas,2002,13482.009185554043,72.2316
BHS,Bahamas,2003,13471.495961650853,72.402
BHS,Bahamas,2004,14267.350082943181,72.478
BHS,Bahamas,2005,14847.879716051815,72.7654
BHS,Bahamas,2006,15348.31375818652,72.855
BHS,Bahamas,2007,15398.89717149742,72.6785
BHS,Bahamas,2008,15197.714734636871,72.6671
BHS,Bahamas,2009,13273.105263157895,72.5794
BHS,Bahamas,2010,12924.723950233281,72.7314
BHS,Bahamas,2011,12712.169930169113,72.5638
BHS,Bahamas,2012,13580.88104163859,72.7528
BHS,Bahamas,2013,12581.249693595742,73.0237
BHS,Bahamas,2014,13321.413072512647,73.3658
BHS,Bahamas,2015,14006.495029396045,73.104
BHS,Bahamas,2016,14066.825252763128,73.5368
BHS,Bahamas,2017,15453.133813055176,73.6317
BHS,Bahamas,2018,15748.385442192746,73.8057
BHS,Bahamas,2019,16513.651889926725,71.205
BHS,Bahamas,2020,10960.358476076166,72.6766
BLZ,Belize,2000,990.8279082932352,68.5645
BLZ,Belize,2001,1017.0272241127856,68.3572
BLZ,Belize,2002,1041.59398140914,68.7521
BLZ,Belize,2003,1124.5011654319521,68.9091
BLZ,Belize,2004,1177.9841672814593,69.227
BLZ,Belize,2005,1210.0782951254062,69.3757
BLZ,Belize,2006,1282.6341912143284,70.0932
BLZ,Belize,2007,1296.4299353578726,70.6549
BLZ,Belize,2008,1380.5006159923344,71.1507
BLZ,Belize,2009,1464.273505903291,71.8186
BLZ,Belize,2010,1430.4999302249857,72.2716
BLZ,Belize,2011,1511.0600297968726,72.6512
BLZ,Belize,2012,1551.3216824802294,73.245
BLZ,Belize,2013,1595.3081655853077,73.6661
BLZ,Belize,2014,1679.1126480759326,73.3107
BLZ,Belize,2015,1779.537966231305,73.1866
BLZ,Belize,2016,1788.0394626478355,73.3988
BLZ,Belize,2017,1830.5793892621914,73.5624
BLZ,Belize,2018,1900.5961819088368,73.7031
BLZ,Belize,2019,1933.9747816708552,73.9313
BLZ,Belize,2020,1545.5569248103093,72.854
BOL,Bolivia,2000,419.0341174611886,62.3461
BOL,Bolivia,2001,409.5992316768614,62.8426
BOL,Bolivia,2002,400.5227831471349,63.3064
BOL,Bolivia,2003,400.00631946300285,63.6348
BOL,Bolivia,2004,422.078165019378,64.0041
BOL,Bolivia,2005,457.8290655818089,64.3856
BOL,Bolivia,2006,503.1736290623258,64.7793
BOL,Bolivia,2007,549.2663633953581,65.0267
BOL,Bolivia,2008,669.9395821017364,65.4459
BOL,Bolivia,2009,738.1491382214493,65.8803
BOL,Bolivia,2010,818.2034626326441,66.1624
BOL,Bolivia,2011,927.7097285593557,66.5337
BOL,Bolivia,2012,1002.8883872566086,66.7046
BOL,Bolivia,2013,1168.5331673365822,67.0207
BOL,Bolivia,2014,1328.924549412288,67.1632
BOL,Bolivia,2015,1300.4047201899734,67.3182
BOL,Bolivia,2016,1344.0568856169,67.6277
BOL,Bolivia,2017,1398.9276004964954,67.7015
BOL,Bolivia,2018,1609.0799091705026,67.748
BOL,Bolivia,2019,1660.0659665831154,67.841
BOL,Bolivia,2020,1321.7952015710746,64.4667
BRA,Brazil,2000,1577.4204710478878,69.7367
BRA,Brazil,2001,1357.4085689979627,70.1949
BRA,Brazil,2002,1286.73435858865,70.4103
BRA,Brazil,2003,1240.798734139173,70.7204
BRA,Brazil,2004,1429.5827349644574,71.1307
BRA,Brazil,2005,1727.1160953083738,71.7533
BRA,Brazil,2006,2118.851989165198,72.0373
BRA,Brazil,2007,2724.019793884141,72.3653
BRA,Brazil,2008,3397.7814351045176,72.7153
BRA,Brazil,2009,3702.546594978335,72.9484
BRA,Brazil,2010,4295.078014211141,73.1821
BRA,Brazil,2011,4893.054440128537,73.3432
BRA,Brazil,2012,5434.4349839426795,73.5517
BRA,Brazil,2013,5678.026289224436,73.9185
BRA,Brazil,2014,5413.29717703378,74.3058
BRA,Brazil,2015,4496.648427864309,74.3325
BRA,Brazil,2016,3810.925761451654,74.4415
BRA,Brazil,2017,3695.677850321044,74.8266
BRA,Brazil,2018,3923.947865396231,75.1095
BRA,Brazil,2019,4015.865581100898,75.3379
BRA,Brazil,2020,3057.6060427416787,74.0089
BRB,Barbados,2000,5249.1510104562985,74.0891
BRB,Barbados,2001,5235.341512106688,74.2467
BRB,Barbados,2002,5155.817908515377,74.3656
BRB,Barbados,2003,5503.956898782857,74.4717
BRB,Barbados,2004,6135.780814652558,74.7268
BRB,Barbados,2005,6651.624203821656,74.8901
BRB,Barbados,2006,7022.51777637625,75.0683
BRB,Barbados,2007,7774.562129307035,75.3424
BRB,Barbados,2008,8029.490258835633,75.4471
BRB,Barbados,2009,7598.406371950894,75.678
BRB,Barbados,2010,7418.336659211501,75.7115
BRB,Barbados,2011,7270.606211592759,75.9166
BRB,Barbados,2012,7438.174502463888,76.0987
BRB,Barbados,2013,7492.83192751166,76.2752
BRB,Barbados,2014,7137.8600544193805,76.4758
BRB,Barbados,2015,7429.918654736495,76.6502
BRB,Barbados,2016,7852.4291282654185,76.8149
BRB,Barbados,2017,7794.877004077155,76.936
BRB,Barbados,2018,8001.588194250628,77.067
BRB,Barbados,2019,8107.8653826723485,77.2569
BRB,Barbados,2020,6972.078776216111,77.3929
CAN,Canada,2000,11203.070428502107,79.2335
CAN,Canada,2001,11430.268842601676,79.4507
CAN,Canada,2002,11873.002425791083,79.568
CAN,Canada,2003,13198.121969807384,79.7396
CAN,Canada,2004,15361.220009420596,80.0332
CAN,Canada,2005,17939.665896212515,80.1364
CAN,Canada,2006,19970.994156980647,80.5466
CAN,Canada,2007,22625.83837404727,80.5495
CAN,Canada,2008,24057.761194519175,80.7388
CAN,Canada,2009,22150.871003938726,81.0737
CAN,Canada,2010,22856.190974774247,81.3469
CAN,Canada,2011,24336.75501570677,81.5286
CAN,Canada,2012,26359.767397926993,81.7221
CAN,Canada,2013,27337.81940939181,81.8029
CAN,Canada,2014,26916.131096960038,81.8545
CAN,Canada,2015,24503.710671971035,81.9246
CAN,Canada,2016,22557.249888928083,82.0434
CAN,Canada,2017,22229.20664406162,82.0192
CAN,Canada,2018,23360.936987489356,82.0508
CAN,Canada,2019,24278.898496671518,82.3628
CAN,Canada,2020,21256.134145401433,82.0471
CHL,Chile,2000,1847.4414727861117,76.8695
CHL,Chile,2001,1742.59763012796,76.7726
CHL,Chile,2002,1649.2635682317216,77.4445
CHL,Chile,2003,1702.6514063497557,77.3867
CHL,Chile,2004,1957.407895561728,77.6161
CHL,Chile,2005,2383.170844097649,78.0159
CHL,Chile,2006,2913.6575575161023,78.261
CHL,Chile,2007,3519.965148034195,77.8258
CHL,Chile,2008,4099.852406490086,78.4841
CHL,Chile,2009,3988.7993432974554,78.7409
CHL,Chile,2010,4515.743231763213,78.5015
CHL,Chile,2011,5187.106319265917,79.1099
CHL,Chile,2012,6249.4077196913,79.0233
CHL,Chile,2013,6710.219273686822,79.3391
CHL,Chile,2014,6546.410765174487,79.4726
CHL,Chile,2015,6280.18129475536,79.746
CHL,Chile,2016,5911.59810121021,80.0794
CHL,Chile,2017,5909.165111704191,80.3501
CHL,Chile,2018,6495.021433415668,80.1334
CHL,Chile,2019,6625.827975729256,80.3263
CHL,Chile,2020,5204.426647563855,79.3769
COL,Colombia,2000,848.0895529430824,71.3201
COL,Colombia,2001,909.0289971004539,71.502
COL,Colombia,2002,922.0043198148479,71.9389
COL,Colombia,2003,952.9711766056939,72.3606
COL,Colombia,2004,1042.5407348468138,72.6951
COL,Colombia,2005,1214.78390022672,73.0814
COL,Colombia,2006,1417.2935768168354,73.468
COL,Colombia,2007,1655.1769885767621,73.8372
COL,Colombia,2008,1918.8542561952136,74.295
COL,Colombia,2009,2188.875260351641,74.7418
COL,Colombia,2010,2469.9707545098095,75.0327
COL,Colombia,2011,2853.6525548933796,75.3198
COL,Colombia,2012,3376.381824605631,75.5973
COL,Colombia,2013,3720.6337758507857,75.8267
COL,Colombia,2014,3890.9948580413957,76.0427
COL,Colombia,2015,3524.5964531600534,76.2573
COL,Colombia,2016,3094.5129827374535,76.4713
COL,Colombia,2017,2850.6388959245096,76.6456
COL,Colombia,2018,2997.97083916218,76.7479
COL,Colombia,2019,3088.8745203239537,76.7523
COL,Colombia,2020,2416.695359681263,74.7692
CRI,Costa Rica,2000,1373.2759695020832,77.5857
CRI,Costa Rica,2001,1464.8699131448755,77.5453
CRI,Costa Rica,2002,1504.539918096467,77.9833
CRI,Costa Rica,2003,1631.9579241666713,78.072
CRI,Costa Rica,2004,1760.8608534217435,78.3305
CRI,Costa Rica,2005,1952.5703767864877,78.5053
CRI,Costa Rica,2006,2157.108307802627,78.5145
CRI,Costa Rica,2007,2509.813745820871,78.4621
CRI,Costa Rica,2008,2826.8426839233425,78.4451
CRI,Costa Rica,2009,2788.3520415578073,78.6721
CRI,Costa Rica,2010,3020.452888787035,78.6704
CRI,Costa Rica,2011,3260.453941498172,79.3477
CRI,Costa Rica,2012,4010.9567506676085,79.2827
CRI,Costa Rica,2013,4319.3525668209795,79.4034
CRI,Costa Rica,2014,4532.042086253673,78.7741
CRI,Costa Rica,2015,4611.090916404434,79.0857
CRI,Costa Rica,2016,4581.919366216157,79.4592
CRI,Costa Rica,2017,4822.400405660253,79.3769
CRI,Costa Rica,2018,5125.890412191919,79.4835
CRI,Costa Rica,2019,5275.302214277351,79.4272
CRI,Costa Rica,2020,4446.247681147301,79.277
CUB,Cuba,2000,1020.8969585283609,76.1831
CUB,Cuba,2001,1097.0835087377368,76.4208
CUB,Cuba,2002,1137.8938136001223,76.6124
CUB,Cuba,2003,1276.5216442689295,76.7729
CUB,Cuba,2004,1460.2034706594957,76.9116
CUB,Cuba,2005,1677.0456985366004,77.0469
CUB,Cuba,2006,1893.646212704266,77.1788
CUB,Cuba,2007,2060.420578685654,77.3072
CUB,Cuba,2008,2208.1276366637817,77.4294
CUB,Cuba,2009,2290.988902270665,77.5483
CUB,Cuba,2010,2293.789975318535,77.661
CUB,Cuba,2011,2499.6208325401713,77.7597
CUB,Cuba,2012,2717.383115669454,77.8328
CUB,Cuba,2013,2970.69078897805,77.8698
CUB,Cuba,2014,3087.97240342166,77.8533
CUB,Cuba,2015,3291.641538725222,77.772
CUB,Cuba,2016,3424.618225075579,77.643
CUB,Cuba,2017,3662.7663722175753,77.5286
CUB,Cuba,2018,3991.522262987264,77.4962
CUB,Cuba,2019,3999.6388639186325,77.6112
CUB,Cuba,2020,3783.5813724063746,77.5673
DMA,Dominica,2000,1397.5985642498206,72.6932
DMA,Dominica,2001,1458.9685809016664,71.7132
DMA,Dominica,2002,1376.3168671248568,72.3395
DMA,Dominica,2003,1488.8784913411885,71.4384
DMA,Dominica,2004,1614.5325131061134,72.401
DMA,Dominica,2005,1756.9105979030887,72.2543
DMA,Dominica,2006,2050.1134081846208,72.8479
DMA,Dominica,2007,2272.6929107165556,71.9301
DMA,Dominica,2008,2608.7190275169773,73.3054
DMA,Dominica,2009,2615.896002710027,72.1702
DMA,Dominica,2010,2618.810051215486,71.5499
DMA,Dominica,2011,2661.163131768953,69.6948
DMA,Dominica,2012,2725.8470276517182,70.5383
DMA,Dominica,2013,2557.6775229164027,68.8962
DMA,Dominica,2014,2733.0739474757706,69.4342
DMA,Dominica,2015,2779.1808921671936,68.7266
DMA,Dominica,2016,2974.596042464274,70.1284
DMA,Dominica,2017,3070.674643157011,67.5253
DMA,Dominica,2018,3340.4769217881776,73.59
DMA,Dominica,2019,3700.2623663101604,73.5588
DMA,Dominica,2020,3078.815685293995,73.649
DOM,Dominican Republic,2000,954.9943320501405,69.4232
DOM,Dominican Republic,2001,953.2359329700106,69.6416
DOM,Dominican Republic,2002,1021.581774341104,69.923
DOM,Dominican Republic,2003,921.5468417684926,70.2649
DOM,Dominican Republic,2004,908.5613504301771,70.3305
DOM,Dominican Republic,2005,1077.9425282024415,70.8752
DOM,Dominican Republic,2006,1328.0916044280086,71.1654
DOM,Dominican Republic,2007,1633.4571204438746,71.371
DOM,Dominican Republic,2008,1786.9659748031286,71.6577
DOM,Dominican Republic,2009,1778.2414091815833,71.871
DOM,Dominican Republic,2010,1988.1264816092473,72.0933
DOM,Dominican Republic,2011,2112.0410275160475,72.2212
DOM,Dominican Republic,2012,2252.556431853819,72.5142
DOM,Dominican Republic,2013,2335.377634818325,72.7127
DOM,Dominican Republic,2014,2490.621409434676,72.8665
DOM,Dominican Republic,2015,2682.9905321846877,72.9531
DOM,Dominican Republic,2016,2838.7814888199723,72.9867
DOM,Dominican Republic,2017,2987.807618506073,73.0629
DOM,Dominican Republic,2018,3363.881391684899,73.2323
DOM,Dominican Republic,2019,3574.4849523096145,73.5767
DOM,Dominican Republic,2020,2988.4065898813265,72.8894
ECU,Ecuador,2000,632.9897320607962,72.8394
ECU,Ecuador,2001,637.5583677773941,73.2395
ECU,Ecuador,2002,708.3451114299007,73.6134
ECU,Ecuador,2003,859.3343721516703,73.9751
ECU,Ecuador,2004,1086.537786868426,74.2788
ECU,Ecuador,2005,1241.0959392771751,74.5144
ECU,Ecuador,2006,1367.4285044880005,74.689
ECU,Ecuador,2007,1445.282359651144,74.8445
ECU,Ecuador,2008,1676.9905144148147,74.983
ECU,Ecuador,2009,1698.9801787035585,75.1841
ECU,Ecuador,2010,1824.147708158102,75.4301
ECU,Ecuador,2011,2019.0502460494815,75.7425
ECU,Ecuador,2012,2272.975348677813,76.0616
ECU,Ecuador,2013,2460.6955994767586,76.3694
ECU,Ecuador,2014,2606.3821609956776,76.6221
ECU,Ecuador,2015,2680.159590210277,76.7893
ECU,Ecuador,2016,2669.438344863986,76.7634
ECU,Ecuador,2017,2751.0840473088565,76.9725
ECU,Ecuador,2018,2818.609435097916,77.0938
ECU,Ecuador,2019,2802.660080718757,77.2971
ECU,Ecuador,2020,2269.4269214070573,72.1535
GRD,Grenada,2000,1506.9903828388615,72.7829
GRD,Grenada,2001,1449.7770287286182,73.1181
GRD,Grenada,2002,1473.035431703269,73.167
GRD,Grenada,2003,1650.3815274559388,73.1875
GRD,Grenada,2004,1713.9114101163436,71.7876
GRD,Grenada,2005,2278.3642913107456,73.5214
GRD,Grenada,2006,2371.3757647372736,73.7004
GRD,Grenada,2007,2666.5980243955773,74.3165
GRD,Grenada,2008,2959.3637217064775,74.6558
GRD,Grenada,2009,2664.318299980149,75.0363
GRD,Grenada,2010,2664.034379206793,74.9988
GRD,Grenada,2011,2673.4330342928847,75.2947
GRD,Grenada,2012,2754.0469232773703,75.0416
GRD,Grenada,2013,2752.0712383981067,75.1161
GRD,Grenada,2014,2866.507988980716,74.985
GRD,Grenada,2015,3059.1156263970875,75.0125
GRD,Grenada,2016,3361.6430715652577,74.7622
GRD,Grenada,2017,3635.3998232227573,74.7652
GRD,Grenada,2018,4052.188355211801,74.8076
GRD,Grenada,2019,4343.721540686774,74.8632
GRD,Grenada,2020,3792.089158275491,74.9238
GTM,Guatemala,2000,575.9402665853075,67.4459
GTM,Guatemala,2001,554.4228751643107,67.9464
GTM,Guatemala,2002,557.5632487229078,68.3865
GTM,Guatemala,2003,584.1481324626466,68.7969
GTM,Guatemala,2004,649.7825322099449,69.1648
GTM,Guatemala,2005,703.8894396264774,69.1675
GTM,Guatemala,2006,759.600127295693,69.8124
GTM,Guatemala,2007,841.6763806115256,70.1002
GTM,Guatemala,2008,931.2485920861028,70.3556
GTM,Guatemala,2009,949.8890729340102,70.6414
GTM,Guatemala,2010,984.716149800483,70.8783
GTM,Guatemala,2011,1061.8403988840007,71.1769
GTM,Guatemala,2012,1157.4341720458651,71.463
GTM,Guatemala,2013,1234.280769166087,71.728
GTM,Guatemala,2014,1324.0498366817985,71.9638
GTM,Guatemala,2015,1393.9248246610437,72.103
GTM,Guatemala,2016,1472.170427270183,72.3547
GTM,Guatemala,2017,1582.8591014418846,72.5506
GTM,Guatemala,2018,1719.547169349634,72.7257
GTM,Guatemala,2019,1821.5351975478718,73.1289
GTM,Guatemala,2020,1640.7933168718403,71.7969
GUY,Guyana,2000,287.24364485655894,64.4833
GUY,Guyana,2001,281.80792961946094,64.7882
GUY,Guyana,2002,282.091625950437,64.7275
GUY,Guyana,2003,296.9669942104995,64.6003
GUY,Guyana,2004,325.08513054870554,64.9305
GUY,Guyana,2005,344.6061011370276,65.132
GUY,Guyana,2006,470.6280825634601,65.6666
GUY,Guyana,2007,735.4685007039735,66.2535
GUY,Guyana,2008,1251.549647503063,66.288
GUY,Guyana,2009,1372.781757293525,66.5625
GUY,Guyana,2010,1486.6938206370176,66.743
GUY,Guyana,2011,1596.6852076183231,66.9818
GUY,Guyana,2012,1758.851398221841,67.2298
GUY,Guyana,2013,1846.5450603926608,67.4727
GUY,Guyana,2014,1859.68015552071,67.8818
GUY,Guyana,2015,1828.4367364968668,68.2015
GUY,Guyana,2016,1871.886517761417,68.384
GUY,Guyana,2017,1975.1078535328127,68.6668
GUY,Guyana,2018,2101.0833535513802,68.8959
GUY,Guyana,2019,2230.234511832902,69.1239
GUY,Guyana,2020,2565.1896170535206,68.4858
