year,id_pais,edvan,pais
2000,ATG,74.6058,Antigua & Barbuda
2001,ATG,75.0781,Antigua & Barbuda
2002,ATG,75.5357,Antigua & Barbuda
2003,ATG,75.4778,Antigua & Barbuda
2004,ATG,75.6721,Antigua & Barbuda
2005,ATG,75.8254,Antigua & Barbuda
2006,ATG,75.7647,Antigua & Barbuda
2007,ATG,76.1311,Antigua & Barbuda
2008,ATG,76.4103,Antigua & Barbuda
2009,ATG,76.6694,Antigua & Barbuda
2010,ATG,76.8195,Antigua & Barbuda
2011,ATG,77.1038,Antigua & Barbuda
2012,ATG,77.3502,Antigua & Barbuda
2013,ATG,77.5834,Antigua & Barbuda
2014,ATG,77.8577,Antigua & Barbuda
2015,ATG,77.9127,Antigua & Barbuda
2016,ATG,78.1516,Antigua & Barbuda
2017,ATG,78.2683,Antigua & Barbuda
2018,ATG,78.5112,Antigua & Barbuda
2019,ATG,78.6912,Antigua & Barbuda
2020,ATG,78.8406,Antigua & Barbuda
2000,ARG,73.926,Argentina
2001,ARG,74.1864,Argentina
2002,ARG,74.408,Argentina
2003,ARG,74.0801,Argentina
2004,ARG,74.8549,Argentina
2005,ARG,75.1388,Argentina
2006,ARG,75.4326,Argentina
2007,ARG,75.0057,Argentina
2008,ARG,75.6411,Argentina
2009,ARG,75.9359,Argentina
2010,ARG,75.7208,Argentina
2011,ARG,76.124,Argentina
2012,ARG,76.4669,Argentina
2013,ARG,76.4908,Argentina
2014,ARG,76.7549,Argentina
2015,ARG,76.7602,Argentina
2016,ARG,76.3077,Argentina
2017,ARG,76.833,Argentina
2018,ARG,76.9994,Argentina
2019,ARG,77.2845,Argentina
2020,ARG,75.8921,Argentina
2000,BHS,72.0411,Bahamas
2001,BHS,72.1101,Bahamas
2002,BHS,72.2316,Bahamas
2003,BHS,72.402,Bahamas
2004,BHS,72.478,Bahamas
2005,BHS,72.7654,Bahamas
2006,BHS,72.855,Bahamas
2007,BHS,72.6785,Bahamas
2008,BHS,72.6671,Bahamas
2009,BHS,72.5794,Bahamas
2010,BHS,72.7314,Bahamas
2011,BHS,72.5638,Bahamas
2012,BHS,72.7528,Bahamas
2013,BHS,73.0237,Bahamas
2014,BHS,73.3658,Bahamas
2015,BHS,73.104,Bahamas
2016,BHS,73.5368,Bahamas
2017,BHS,73.6317,Bahamas
2018,BHS,73.8057,Bahamas
2019,BHS,71.205,Bahamas
2020,BHS,72.6766,Bahamas
2000,BRB,74.0891,Barbados
2001,BRB,74.2467,Barbados
2002,BRB,74.3656,Barbados
2003,BRB,74.4717,Barbados
2004,BRB,74.7268,Barbados
2005,BRB,74.8901,Barbados
2006,BRB,75.0683,Barbados
2007,BRB,75.3424,Barbados
2008,BRB,75.4471,Barbados
2009,BRB,75.678,Barbados
2010,BRB,75.7115,Barbados
2011,BRB,75.9166,Barbados
2012,BRB,76.0987,Barbados
2013,BRB,76.2752,Barbados
2014,BRB,76.4758,Barbados
2015,BRB,76.6502,Barbados
2016,BRB,76.8149,Barbados
2017,BRB,76.936,Barbados
2018,BRB,77.067,Barbados
2019,BRB,77.2569,Barbados
2020,BRB,77.3929,Barbados
2000,BOL,62.3461,Bolivia
2001,BOL,62.8426,Bolivia
2002,BOL,63.3064,Bolivia
2003,BOL,63.6348,Bolivia
2004,BOL,64.0041,Bolivia
2005,BOL,64.3856,Bolivia
2006,BOL,64.7793,Bolivia
2007,BOL,65.0267,Bolivia
2008,BOL,65.4459,Bolivia
2009,BOL,65.8803,Bolivia
2010,BOL,66.1624,Bolivia
2011,BOL,66.5337,Bolivia
2012,BOL,66.7046,Bolivia
2013,BOL,67.0207,Bolivia
2014,BOL,67.1632,Bolivia
2015,BOL,67.3182,Bolivia
2016,BOL,67.6277,Bolivia
2017,BOL,67.7015,Bolivia
2018,BOL,67.748,Bolivia
2019,BOL,67.841,Bolivia
2020,BOL,64.4667,Bolivia
2000,BRA,69.7367,Brazil
2001,BRA,70.1949,Brazil
2002,BRA,70.4103,Brazil
2003,BRA,70.7204,Brazil
2004,BRA,71.1307,Brazil
2005,BRA,71.7533,Brazil
2006,BRA,72.0373,Brazil
2007,BRA,72.3653,Brazil
2008,BRA,72.7153,Brazil
2009,BRA,72.9484,Brazil
2010,BRA,73.1821,Brazil
2011,BRA,73.3432,Brazil
2012,BRA,73.5517,Brazil
2013,BRA,73.9185,Brazil
2014,BRA,74.3058,Brazil
2015,BRA,74.3325,Brazil
2016,BRA,74.4415,Brazil
2017,BRA,74.8266,Brazil
2018,BRA,75.1095,Brazil
2019,BRA,75.3379,Brazil
2020,BRA,74.0089,Brazil
2000,BLZ,68.5645,Belize
2001,BLZ,68.3572,Belize
2002,BLZ,68.7521,Belize
2003,BLZ,68.9091,Belize
2004,BLZ,69.227,Belize
2005,BLZ,69.3757,Belize
2006,BLZ,70.0932,Belize
2007,BLZ,70.6549,Belize
2008,BLZ,71.1507,Belize
2009,BLZ,71.8186,Belize
2010,BLZ,72.2716,Belize
2011,BLZ,72.6512,Belize
2012,BLZ,73.245,Belize
2013,BLZ,73.6661,Belize
2014,BLZ,73.3107,Belize
2015,BLZ,73.1866,Belize
2016,BLZ,73.3988,Belize
2017,BLZ,73.5624,Belize
2018,BLZ,73.7031,Belize
2019,BLZ,73.9313,Belize
2020,BLZ,72.854,Belize
2000,CAN,79.2335,Canada
2001,CAN,79.4507,Canada
2002,CAN,79.568,Canada
2003,CAN,79.7396,Canada
2004,CAN,80.0332,Canada
2005,CAN,80.1364,Canada
2006,CAN,80.5466,Canada
2007,CAN,80.5495,Canada
2008,CAN,80.7388,Canada
2009,CAN,81.0737,Canada
2010,CAN,81.3469,Canada
2011,CAN,81.5286,Canada
2012,CAN,81.7221,Canada
2013,CAN,81.8029,Canada
2014,CAN,81.8545,Canada
2015,CAN,81.9246,Canada
2016,CAN,82.0434,Canada
2017,CAN,82.0192,Canada
2018,CAN,82.0508,Canada
2019,CAN,82.3628,Canada
2020,CAN,82.0471,Canada
2000,CHL,76.8695,Chile
2001,CHL,76.7726,Chile
2002,CHL,77.4445,Chile
2003,CHL,77.3867,Chile
2004,CHL,77.6161,Chile
2005,CHL,78.0159,Chile
2006,CHL,78.261,Chile
2007,CHL,77.8258,Chile
2008,CHL,78.4841,Chile
2009,CHL,78.7409,Chile
2010,CHL,78.5015,Chile
2011,CHL,79.1099,Chile
2012,CHL,79.0233,Chile
2013,CHL,79.3391,Chile
2014,CHL,79.4726,Chile
2015,CHL,79.746,Chile
2016,CHL,80.0794,Chile
2017,CHL,80.3501,Chile
2018,CHL,80.1334,Chile
2019,CHL,80.3263,Chile
2020,CHL,79.3769,Chile
2000,COL,71.3201,Colombia
2001,COL,71.502,Colombia
2002,COL,71.9389,Colombia
2003,COL,72.3606,Colombia
2004,COL,72.6951,Colombia
2005,COL,73.0814,Colombia
2006,COL,73.468,Colombia
2007,COL,73.8372,Colombia
2008,COL,74.295,Colombia
2009,COL,74.7418,Colombia
2010,COL,75.0327,Colombia
2011,COL,75.3198,Colombia
2012,COL,75.5973,Colombia
2013,COL,75.8267,Colombia
2014,COL,76.0427,Colombia
2015,COL,76.2573,Colombia
2016,COL,76.4713,Colombia
2017,COL,76.6456,Colombia
2018,COL,76.7479,Colombia
2019,COL,76.7523,Colombia
2020,COL,74.7692,Colombia
2000,CRI,77.5857,Costa Rica
2001,CRI,77.5453,Costa Rica
2002,CRI,77.9833,Costa Rica
2003,CRI,78.072,Costa Rica
2004,CRI,78.3305,Costa Rica
2005,CRI,78.5053,Costa Rica
2006,CRI,78.5145,Costa Rica
2007,CRI,78.4621,Costa Rica
2008,CRI,78.4451,Costa Rica
2009,CRI,78.6721,Costa Rica
2010,CRI,78.6704,Costa Rica
2011,CRI,79.3477,Costa Rica
2012,CRI,79.2827,Costa Rica
2013,CRI,79.4034,Costa Rica
2014,CRI,78.7741,Costa Rica
2015,CRI,79.0857,Costa Rica
2016,CRI,79.4592,Costa Rica
2017,CRI,79.3769,Costa Rica
2018,CRI,79.4835,Costa Rica
2019,CRI,79.4272,Costa Rica
2020,CRI,79.277,Costa Rica
2000,CUB,76.1831,Cuba
2001,CUB,76.4208,Cuba
2002,CUB,76.6124,Cuba
2003,CUB,76.7729,Cuba
2004,CUB,76.9116,Cuba
2005,CUB,77.0469,Cuba
2006,CUB,77.1788,Cuba
2007,CUB,77.3072,Cuba
2008,CUB,77.4294,Cuba
2009,CUB,77.5483,Cuba
2010,CUB,77.661,Cuba
2011,CUB,77.7597,Cuba
2012,CUB,77.8328,Cuba
2013,CUB,77.8698,Cuba
2014,CUB,77.8533,Cuba
2015,CUB,77.772,Cuba
2016,CUB,77.643,Cuba
2017,CUB,77.5286,Cuba
2018,CUB,77.4962,Cuba
2019,CUB,77.6112,Cuba
2020,CUB,77.5673,Cuba
2000,DMA,72.6932,Dominica
2001,DMA,71.7132,Dominica
2002,DMA,72.3395,Dominica
2003,DMA,71.4384,Dominica
2004,DMA,72.401,Dominica
2005,DMA,72.2543,Dominica
2006,DMA,72.8479,Dominica
2007,DMA,71.9301,Dominica
2008,DMA,73.3054,Dominica
2009,DMA,72.1702,Dominica
2010,DMA,71.5499,Dominica
2011,DMA,69.6948,Dominica
2012,DMA,70.5383,Dominica
2013,DMA,68.8962,Dominica
2014,DMA,69.4342,Dominica
2015,DMA,68.7266,Dominica
2016,DMA,70.1284,Dominica
2017,DMA,67.5253,Dominica
2018,DMA,73.59,Dominica
2019,DMA,73.5588,Dominica
2020,DMA,73.649,Dominica
2000,DOM,69.4232,Dominican Republic
2001,DOM,69.6416,Dominican Republic
2002,DOM,69.923,Dominican Republic
2003,DOM,70.2649,Dominican Republic
2004,DOM,70.3305,Dominican Republic
2005,DOM,70.8752,Dominican Republic
2006,DOM,71.1654,Dominican Republic
2007,DOM,71.371,Dominican Republic
2008,DOM,71.6577,Dominican Republic
2009,DOM,71.871,Dominican Republic
2010,DOM,72.0933,Dominican Republic
2011,DOM,72.2212,Dominican Republic
2012,DOM,72.5142,Dominican Republic
2013,DOM,72.7127,Dominican Republic
2014,DOM,72.8665,Dominican Republic
2015,DOM,72.9531,Dominican Republic
2016,DOM,72.9867,Dominican Republic
2017,DOM,73.0629,Dominican Republic
2018,DOM,73.2323,Dominican Republic
2019,DOM,73.5767,Dominican Republic
2020,DOM,72.8894,Dominican Republic
2000,ECU,72.8394,Ecuador
2001,ECU,73.2395,Ecuador
2002,ECU,73.6134,Ecuador
2003,ECU,73.9751,Ecuador
2004,ECU,74.2788,Ecuador
2005,ECU,74.5144,Ecuador
2006,ECU,74.689,Ecuador
2007,ECU,74.8445,Ecuador
2008,ECU,74.983,Ecuador
2009,ECU,75.1841,Ecuador
2010,ECU,75.4301,Ecuador
2011,ECU,75.7425,Ecuador
2012,ECU,76.0616,Ecuador
2013,ECU,76.3694,Ecuador
2014,ECU,76.6221,Ecuador
2015,ECU,76.7893,Ecuador
2016,ECU,76.7634,Ecuador
2017,ECU,76.9725,Ecuador
2018,ECU,77.0938,Ecuador
2019,ECU,77.2971,Ecuador
2020,ECU,72.1535,Ecuador
2000,SLV,69.8647,El Salvador
2001,SLV,69.5982,El Salvador
2002,SLV,70.2324,El Salvador
2003,SLV,70.1401,El Salvador
2004,SLV,70.3402,El Salvador
2005,SLV,70.4403,El Salvador
2006,SLV,70.7732,El Salvador
2007,SLV,71.1081,El Salvador
2008,SLV,71.4236,El Salvador
2009,SLV,71.5756,El Salvador
2010,SLV,71.8478,El Salvador
2011,SLV,71.8589,El Salvador
2012,SLV,71.8313,El Salvador
2013,SLV,71.7711,El Salvador
2014,SLV,71.7464,El Salvador
2015,SLV,71.8143,El Salvador
2016,SLV,72.0248,El Salvador
2017,SLV,72.3108,El Salvador
2018,SLV,72.5546,El Salvador
2019,SLV,72.5586,El Salvador
2020,SLV,71.0609,El Salvador
2000,GRD,72.7829,Grenada
2001,GRD,73.1181,Grenada
2002,GRD,73.167,Grenada
2003,GRD,73.1875,Grenada
2004,GRD,71.7876,Grenada
2005,GRD,73.5214,Grenada
2006,GRD,73.7004,Grenada
2007,GRD,74.3165,Grenada
2008,GRD,74.6558,Grenada
2009,GRD,75.0363,Grenada
2010,GRD,74.9988,Grenada
2011,GRD,75.2947,Grenada
2012,GRD,75.0416,Grenada
2013,GRD,75.1161,Grenada
2014,GRD,74.985,Grenada
2015,GRD,75.0125,Grenada
2016,GRD,74.7622,Grenada
2017,GRD,74.7652,Grenada
2018,GRD,74.8076,Grenada
2019,GRD,74.8632,Grenada
2020,GRD,74.9238,Grenada
2000,GTM,67.4459,Guatemala
2001,GTM,67.9464,Guatemala
2002,GTM,68.3865,Guatemala
2003,GTM,68.7969,Guatemala
2004,GTM,69.1648,Guatemala
2005,GTM,69.1675,Guatemala
2006,GTM,69.8124,Guatemala
2007,GTM,70.1002,Guatemala
2008,GTM,70.3556,Guatemala
2009,GTM,70.6414,Guatemala
2010,GTM,70.8783,Guatemala
2011,GTM,71.1769,Guatemala
2012,GTM,71.463,Guatemala
2013,GTM,71.728,Guatemala
2014,GTM,71.9638,Guatemala
2015,GTM,72.103,Guatemala
2016,GTM,72.3547,Guatemala
2017,GTM,72.5506,Guatemala
2018,GTM,72.7257,Guatemala
2019,GTM,73.1289,Guatemala
2020,GTM,71.7969,Guatemala
2000,GUY,64.4833,Guyana
2001,GUY,64.7882,Guyana
2002,GUY,64.7275,Guyana
2003,GUY,64.6003,Guyana
2004,GUY,64.9305,Guyana
2005,GUY,65.132,Guyana
2006,GUY,65.6666,Guyana
2007,GUY,66.2535,Guyana
2008,GUY,66.288,Guyana
2009,GUY,66.5625,Guyana
2010,GUY,66.743,Guyana
2011,GUY,66.9818,Guyana
2012,GUY,67.2298,Guyana
2013,GUY,67.4727,Guyana
2014,GUY,67.8818,Guyana
2015,GUY,68.2015,Guyana
2016,GUY,68.384,Guyana
2017,GUY,68.6668,Guyana
2018,GUY,68.8959,Guyana
2019,GUY,69.1239,Guyana
2020,GUY,68.4858,Guyana
2000,HTI,58.3652,Haiti
2001,HTI,58.4886,Haiti
2002,HTI,58.8545,Haiti
2003,HTI,59.5065,Haiti
2004,HTI,58.4755,Haiti
2005,HTI,60.4153,Haiti
2006,HTI,60.7632,Haiti
2007,HTI,61.103,Haiti
2008,HTI,61.3322,Haiti
2009,HTI,61.7409,Haiti
2010,HTI,46.0185,Haiti
2011,HTI,61.6227,Haiti
2012,HTI,62.2915,Haiti
2013,HTI,62.6047,Haiti
2014,HTI,62.9875,Haiti
2015,HTI,63.2372,Haiti
2016,HTI,63.3922,Haiti
2017,HTI,63.8538,Haiti
2018,HTI,64.0188,Haiti
2019,HTI,64.2546,Haiti
2020,HTI,64.0518,Haiti
2000,HND,68.6618,Honduras
2001,HND,69.0061,Honduras
2002,HND,69.3664,Honduras
2003,HND,69.5071,Honduras
2004,HND,69.7957,Honduras
2005,HND,70.1041,Honduras
2006,HND,70.2608,Honduras
2007,HND,70.3765,Honduras
2008,HND,70.4414,Honduras
2009,HND,70.9113,Honduras
2010,HND,71.0884,Honduras
2011,HND,71.4386,Honduras
2012,HND,71.7344,Honduras
2013,HND,71.9629,Honduras
2014,HND,72.2594,Honduras
2015,HND,72.4871,Honduras
2016,HND,72.5878,Honduras
2017,HND,72.6918,Honduras
2018,HND,72.8141,Honduras
2019,HND,72.8811,Honduras
2020,HND,71.4619,Honduras
2000,JAM,70.9442,Jamaica
2001,JAM,70.758,Jamaica
2002,JAM,70.8882,Jamaica
2003,JAM,70.8062,Jamaica
2004,JAM,70.8603,Jamaica
2005,JAM,71.0438,Jamaica
2006,JAM,71.1993,Jamaica
2007,JAM,71.4179,Jamaica
2008,JAM,71.6122,Jamaica
2009,JAM,72.1238,Jamaica
2010,JAM,72.6219,Jamaica
2011,JAM,73.0942,Jamaica
2012,JAM,73.4335,Jamaica
2013,JAM,73.4119,Jamaica
2014,JAM,72.982,Jamaica
2015,JAM,72.394,Jamaica
2016,JAM,72.0198,Jamaica
2017,JAM,71.9114,Jamaica
2018,JAM,71.793,Jamaica
2019,JAM,71.767,Jamaica
2020,JAM,71.8686,Jamaica
2000,MEX,73.5692,Mexico
2001,MEX,73.8668,Mexico
2002,MEX,74.1059,Mexico
2003,MEX,74.2743,Mexico
2004,MEX,74.372,Mexico
2005,MEX,74.3765,Mexico
2006,MEX,74.3313,Mexico
2007,MEX,74.2384,Mexico
2008,MEX,74.1524,Mexico
2009,MEX,74.119,Mexico
2010,MEX,74.1901,Mexico
2011,MEX,74.3651,Mexico
2012,MEX,74.574,Mexico
2013,MEX,74.7391,Mexico
2014,MEX,74.7974,Mexico
2015,MEX,74.6822,Mexico
2016,MEX,74.4122,Mexico
2017,MEX,74.1378,Mexico
2018,MEX,74.0146,Mexico
2019,MEX,74.2021,Mexico
2020,MEX,70.1328,Mexico
2000,NIC,67.2335,Nicaragua
2001,NIC,67.2145,Nicaragua
2002,NIC,67.1799,Nicaragua
2003,NIC,67.2174,Nicaragua
2004,NIC,67.4233,Nicaragua
2005,NIC,67.9359,Nicaragua
2006,NIC,68.7246,Nicaragua
2007,NIC,69.5595,Nicaragua
2008,NIC,70.5863,Nicaragua
2009,NIC,71.4328,Nicaragua
2010,NIC,72.009,Nicaragua
2011,NIC,72.4162,Nicaragua
2012,NIC,72.6148,Nicaragua
2013,NIC,72.7044,Nicaragua
2014,NIC,72.8121,Nicaragua
2015,NIC,72.983,Nicaragua
2016,NIC,73.2562,Nicaragua
2017,NIC,73.5536,Nicaragua
2018,NIC,73.8497,Nicaragua
2019,NIC,74.0543,Nicaragua
2020,NIC,71.7954,Nicaragua
2000,PAN,74.0015,Panama
2001,PAN,74.4144,Panama
2002,PAN,74.8238,Panama
2003,PAN,75.2175,Panama
2004,PAN,75.5444,Panama
2005,PAN,75.8285,Panama
2006,PAN,76.0123,Panama
2007,PAN,76.154,Panama
2008,PAN,76.2247,Panama
2009,PAN,76.3429,Panama
2010,PAN,76.4479,Panama
2011,PAN,76.6269,Panama
2012,PAN,76.8185,Panama
2013,PAN,77.0378,Panama
2014,PAN,77.2478,Panama
2015,PAN,77.4684,Panama
2016,PAN,77.6529,Panama
2017,PAN,77.7954,Panama
2018,PAN,77.8629,Panama
2019,PAN,77.8103,Panama
2020,PAN,76.657,Panama
2000,PRY,69.7502,Paraguay
2001,PRY,69.8997,Paraguay
2002,PRY,70.025,Paraguay
2003,PRY,70.297,Paraguay
2004,PRY,70.4809,Paraguay
2005,PRY,70.5269,Paraguay
2006,PRY,70.7809,Paraguay
2007,PRY,71.1061,Paraguay
2008,PRY,71.3838,Paraguay
2009,PRY,71.6345,Paraguay
2010,PRY,71.8872,Paraguay
2011,PRY,72.1314,Paraguay
2012,PRY,72.4536,Paraguay
2013,PRY,72.7568,Paraguay
2014,PRY,72.8777,Paraguay
2015,PRY,73.1905,Paraguay
2016,PRY,73.5336,Paraguay
2017,PRY,73.6436,Paraguay
2018,PRY,73.5676,Paraguay
2019,PRY,73.6207,Paraguay
2020,PRY,73.1816,Paraguay
2000,PER,70.424,Peru
2001,PER,71.0409,Peru
2002,PER,71.6608,Peru
2003,PER,72.2166,Peru
2004,PER,72.668,Peru
2005,PER,72.9858,Peru
2006,PER,73.1721,Peru
2007,PER,73.2227,Peru
2008,PER,73.3772,Peru
2009,PER,73.4661,Peru
2010,PER,73.7106,Peru
2011,PER,74.1327,Peru
2012,PER,74.544,Peru
2013,PER,74.9668,Peru
2014,PER,75.3334,Peru
2015,PER,75.6206,Peru
2016,PER,75.789,Peru
2017,PER,75.879,Peru
2018,PER,76.0089,Peru
2019,PER,76.1559,Peru
2020,PER,73.6655,Peru
2000,KNA,69.7815,St. Kitts and Nevis
2001,KNA,70.1995,St. Kitts and Nevis
2002,KNA,70.4518,St. Kitts and Nevis
2003,KNA,70.7676,St. Kitts and Nevis
2004,KNA,71.303,St. Kitts and Nevis
2005,KNA,71.3616,St. Kitts and Nevis
2006,KNA,71.2885,St. Kitts and Nevis
2007,KNA,71.3668,St. Kitts and Nevis
2008,KNA,71.3738,St. Kitts and Nevis
2009,KNA,71.3927,St. Kitts and Nevis
2010,KNA,71.2705,St. Kitts and Nevis
2011,KNA,71.5378,St. Kitts and Nevis
2012,KNA,71.669,St. Kitts and Nevis
2013,KNA,71.457,St. Kitts and Nevis
2014,KNA,70.9659,St. Kitts and Nevis
2015,KNA,70.763,St. Kitts and Nevis
2016,KNA,71.7405,St. Kitts and Nevis
2017,KNA,71.8399,St. Kitts and Nevis
2018,KNA,71.4671,St. Kitts and Nevis
2019,KNA,71.5717,St. Kitts and Nevis
2020,KNA,71.6266,St. Kitts and Nevis
2000,LCA,70.7678,St. Lucia
2001,LCA,71.1345,St. Lucia
2002,LCA,71.472,St. Lucia
2003,LCA,71.7707,St. Lucia
2004,LCA,72.0276,St. Lucia
2005,LCA,72.2445,St. Lucia
2006,LCA,72.4654,St. Lucia
2007,LCA,72.5985,St. Lucia
2008,LCA,72.6977,St. Lucia
2009,LCA,72.7222,St. Lucia
2010,LCA,72.7196,St. Lucia
2011,LCA,72.944,St. Lucia
2012,LCA,72.8821,St. Lucia
2013,LCA,72.7353,St. Lucia
2014,LCA,72.8638,St. Lucia
2015,LCA,73.1381,St. Lucia
2016,LCA,73.1116,St. Lucia
2017,LCA,73.1275,St. Lucia
2018,LCA,73.3569,St. Lucia
2019,LCA,73.4449,St. Lucia
2020,LCA,73.416,St. Lucia
2000,VCT,71.3772,St. Vincent and the Grenadines
2001,VCT,71.9378,St. Vincent and the Grenadines
2002,VCT,72.1682,St. Vincent and the Grenadines
2003,VCT,72.3523,St. Vincent and the Grenadines
2004,VCT,73.035,St. Vincent and the Grenadines
2005,VCT,73.5161,St. Vincent and the Grenadines
2006,VCT,74.0166,St. Vincent and the Grenadines
2007,VCT,74.7028,St. Vincent and the Grenadines
2008,VCT,75.0526,St. Vincent and the Grenadines
2009,VCT,75.0826,St. Vincent and the Grenadines
2010,VCT,74.7184,St. Vincent and the Grenadines
2011,VCT,74.5958,St. Vincent and the Grenadines
2012,VCT,74.1463,St. Vincent and the Grenadines
2013,VCT,73.7976,St. Vincent and the Grenadines
2014,VCT,74.473,St. Vincent and the Grenadines
2015,VCT,74.4071,St. Vincent and the Grenadines
2016,VCT,74.2799,St. Vincent and the Grenadines
2017,VCT,74.3052,St. Vincent and the Grenadines
2018,VCT,74.1279,St. Vincent and the Grenadines
2019,VCT,72.8347,St. Vincent and the Grenadines
2020,VCT,72.1256,St. Vincent and the Grenadines
2000,SUR,65.5077,Suriname
2001,SUR,65.4821,Suriname
2002,SUR,65.5313,Suriname
2003,SUR,65.5963,Suriname
2004,SUR,66.4163,Suriname
2005,SUR,67.0025,Suriname
2006,SUR,67.5713,Suriname
2007,SUR,68.204,Suriname
2008,SUR,68.8162,Suriname
2009,SUR,69.5048,Suriname
2010,SUR,69.8945,Suriname
2011,SUR,69.9141,Suriname
2012,SUR,69.7644,Suriname
2013,SUR,69.6816,Suriname
2014,SUR,69.7824,Suriname
2015,SUR,70.8003,Suriname
2016,SUR,71.5924,Suriname
2017,SUR,72.417,Suriname
2018,SUR,72.5532,Suriname
2019,SUR,72.2423,Suriname
2020,SUR,72.5615,Suriname
2000,TTO,69.1022,Trinidad and Tobago
2001,TTO,69.6462,Trinidad and Tobago
2002,TTO,70.4878,Trinidad and Tobago
2003,TTO,69.729,Trinidad and Tobago
2004,TTO,71.0756,Trinidad and Tobago
2005,TTO,71.3077,Trinidad and Tobago
2006,TTO,71.256,Trinidad and Tobago
2007,TTO,71.6523,Trinidad and Tobago
2008,TTO,71.4697,Trinidad and Tobago
2009,TTO,73.126,Trinidad and Tobago
2010,TTO,72.7254,Trinidad and Tobago
2011,TTO,73.2779,Trinidad and Tobago
2012,TTO,73.7159,Trinidad and Tobago
2013,TTO,73.9623,Trinidad and Tobago
2014,TTO,74.2152,Trinidad and Tobago
2015,TTO,74.5032,Trinidad and Tobago
2016,TTO,74.281,Trinidad and Tobago
2017,TTO,74.2301,Trinidad and Tobago
2018,TTO,73.8018,Trinidad and Tobago
2019,TTO,74.2279,Trinidad and Tobago
2020,TTO,74.4056,Trinidad and Tobago
2000,USA,76.8114,United States of America
2001,USA,76.9285,United States of America
2002,USA,77.0005,United States of America
2003,USA,77.1536,United States of America
2004,USA,77.5581,United States of America
2005,USA,77.5573,United States of America
2006,USA,77.8386,United States of America
2007,USA,78.1004,United States of America
2008,USA,78.1958,United States of America
2009,USA,78.564,United States of America
2010,USA,78.7724,United States of America
2011,USA,78.82,United States of America
2012,USA,78.9441,United States of America
2013,USA,78.9507,United States of America
2014,USA,79.0175,United States of America
2015,USA,78.8694,United States of America
2016,USA,78.8482,United States of America
2017,USA,78.8213,United States of America
2018,USA,78.9896,United States of America
2019,USA,79.138,United States of America
2020,USA,77.4144,United States of America
2000,URY,75.0247,Uruguay
2001,URY,75.2851,Uruguay
2002,URY,75.5399,Uruguay
2003,URY,75.7851,Uruguay
2004,URY,76.0069,Uruguay
2005,URY,76.1935,Uruguay
2006,URY,76.3615,Uruguay
2007,URY,76.4981,Uruguay
2008,URY,76.623,Uruguay
2009,URY,76.7384,Uruguay
2010,URY,76.858,Uruguay
2011,URY,76.9833,Uruguay
2012,URY,77.111,Uruguay
2013,URY,77.24,Uruguay
2014,URY,77.3663,Uruguay
2015,URY,77.4827,Uruguay
2016,URY,77.5707,Uruguay
2017,URY,77.6247,Uruguay
2018,URY,77.611,Uruguay
2019,URY,77.5085,Uruguay
2020,URY,78.4298,Uruguay
2000,VEN,72.4775,Venezuela
2001,VEN,71.2015,Venezuela
2002,VEN,72.6618,Venezuela
2003,VEN,71.9402,Venezuela
2004,VEN,72.514,Venezuela
2005,VEN,72.7825,Venezuela
2006,VEN,72.7418,Venezuela
2007,VEN,73.0583,Venezuela
2008,VEN,72.436,Venezuela
2009,VEN,72.5788,Venezuela
2010,VEN,72.8901,Venezuela
2011,VEN,72.913,Venezuela
2012,VEN,73.0364,Venezuela
2013,VEN,73.1962,Venezuela
2014,VEN,72.8533,Venezuela
2015,VEN,73.0064,Venezuela
2016,VEN,72.0578,Venezuela
2017,VEN,71.943,Venezuela
2018,VEN,71.9788,Venezuela
2019,VEN,72.1614,Venezuela
2020,VEN,71.0949,Venezuela
